Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
0,"{'1': 1, '2': 3, '3': 4, '4': 4, '5': 5, '6': 6, '7': 4}",39.0,2,683,7,,,,
1,"{'1': 2, '2': 2, '3': 4, '4': 5, '5': 4, '6': 2, '7': 8}",36.599999999999994,2,650,7,,,,
2,"{'1': 3, '2': 6, '3': 2, '4': 4, '5': 2, '6': 3, '7': 7}",32.9,2,664,7,,,,
3,"{'1': 2, '2': 5, '3': 5, '4': 3, '5': 4, '6': 4, '7': 4}",26.399999999999995,2,702,7,,,,
4,"{'1': 3, '2': 3, '3': 5, '4': 3, '5': 6, '6': 4, '7': 3}",25.4,2,700,7,,,,
5,"{'1': 1, '2': 2, '3': 4, '4': 4, '5': 5, '6': 7, '7': 4}",42.9,2,665,7,,,,
6,"{'1': 2, '2': 6, '3': 3, '4': 5, '5': 3, '6': 4, '7': 4}",27.699999999999996,2,685,7,,,,
7,"{'1': 2, '2': 6, '3': 3, '4': 3, '5': 5, '6': 5, '7': 3}",28.5,2,683,7,,,,
8,"{'1': 2, '2': 5, '3': 6, '4': 5, '5': 3, '6': 3, '7': 3}",28.5,2,683,7,,,,
9,"{'1': 1, '2': 4, '3': 3, '4': 6, '5': 6, '6': 4, '7': 3}",40.300000000000004,2,667,7,,,,
,,,,,,650,0.011305093765258789,0,"{4: 0, 5: 0, 6: 0, 7: 10}"
