Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 10, '2': 8, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",12.8,2,648,5,,,,,,,,,
1,"{'1': 9, '2': 10, '3': 7, '4': 3, '5': 2, '6': 0, '7': 0}",14.8,2,658,5,,,,,,,,,
2,"{'1': 10, '2': 7, '3': 6, '4': 5, '5': 3, '6': 0, '7': 0}",9.2,2,679,5,,,,,,,,,
3,"{'1': 11, '2': 8, '3': 7, '4': 4, '5': 1, '6': 0, '7': 0}",14.8,2,644,5,,,,,,,,,
4,"{'1': 8, '2': 9, '3': 6, '4': 6, '5': 2, '6': 0, '7': 0}",9.2,2,667,5,,,,,,,,,
5,"{'1': 10, '2': 8, '3': 5, '4': 6, '5': 2, '6': 0, '7': 0}",11.2,2,663,5,,,,,,,,,
6,"{'1': 9, '2': 10, '3': 6, '4': 3, '5': 3, '6': 0, '7': 0}",13.2,2,673,5,,,,,,,,,
7,"{'1': 9, '2': 8, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",3.5,2,637,4,,,,,,,,,
8,"{'1': 10, '2': 8, '3': 6, '4': 6, '5': 1, '6': 0, '7': 0}",11.2,2,650,5,,,,,,,,,
9,"{'1': 12, '2': 7, '3': 6, '4': 4, '5': 2, '6': 0, '7': 0}",13.2,2,658,5,,,,,,,,,
10,"{'1': 8, '2': 7, '3': 11, '4': 4, '5': 1, '6': 0, '7': 0}",14.8,2,644,5,,,,,,,,,
11,"{'1': 9, '2': 7, '3': 7, '4': 7, '5': 1, '6': 0, '7': 0}",10.399999999999999,2,655,5,,,,,,,,,
12,"{'1': 8, '2': 8, '3': 8, '4': 5, '5': 2, '6': 0, '7': 0}",10.8,2,667,5,,,,,,,,,
13,"{'1': 10, '2': 8, '3': 9, '4': 3, '5': 1, '6': 0, '7': 0}",16.799999999999997,2,643,5,,,,,,,,,
14,"{'1': 9, '2': 8, '3': 8, '4': 5, '5': 1, '6': 0, '7': 0}",12.8,2,650,5,,,,,,,,,
15,"{'1': 10, '2': 7, '3': 7, '4': 6, '5': 1, '6': 0, '7': 0}",10.8,2,651,5,,,,,,,,,
16,"{'1': 8, '2': 10, '3': 7, '4': 4, '5': 2, '6': 0, '7': 0}",12.8,2,661,5,,,,,,,,,
17,"{'1': 9, '2': 8, '3': 6, '4': 5, '5': 3, '6': 0, '7': 0}",9.2,2,680,5,,,,,,,,,
18,"{'1': 9, '2': 10, '3': 5, '4': 5, '5': 2, '6': 0, '7': 0}",13.2,2,662,5,,,,,,,,,
19,"{'1': 11, '2': 9, '3': 4, '4': 4, '5': 3, '6': 0, '7': 0}",15.2,2,673,5,,,,,,,,,
20,"{'1': 11, '2': 7, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",12.8,2,647,5,,,,,,,,,
21,"{'1': 11, '2': 7, '3': 5, '4': 5, '5': 3, '6': 0, '7': 0}",11.2,2,677,5,,,,,,,,,
22,"{'1': 11, '2': 9, '3': 6, '4': 4, '5': 1, '6': 0, '7': 0}",15.2,2,643,5,,,,,,,,,
23,"{'1': 9, '2': 9, '3': 6, '4': 5, '5': 2, '6': 0, '7': 0}",11.2,2,664,5,,,,,,,,,
