Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 7, '2': 6, '3': 4, '4': 6, '5': 8, '6': 0, '7': 0}",17.5,2,700,5,,,,,,,,,
1,"{'1': 8, '2': 9, '3': 5, '4': 6, '5': 3, '6': 0, '7': 0}",19.700000000000003,2,680,5,,,,,,,,,
2,"{'1': 9, '2': 8, '3': 6, '4': 3, '5': 5, '6': 0, '7': 0}",19.700000000000003,2,680,5,,,,,,,,,
3,"{'1': 7, '2': 6, '3': 6, '4': 4, '5': 8, '6': 0, '7': 0}",17.5,2,700,5,,,,,,,,,
4,"{'1': 7, '2': 7, '3': 6, '4': 4, '5': 7, '6': 0, '7': 0}",17.6,2,702,5,,,,,,,,,
5,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 5, '6': 0, '7': 0}",15.200000000000001,2,713,5,,,,,,,,,
6,"{'1': 6, '2': 11, '3': 5, '4': 3, '5': 6, '6': 0, '7': 0}",19.1,2,678,5,,,,,,,,,
7,"{'1': 7, '2': 9, '3': 4, '4': 6, '5': 5, '6': 0, '7': 0}",17.0,2,696,5,,,,,,,,,
8,"{'1': 8, '2': 7, '3': 7, '4': 6, '5': 3, '6': 0, '7': 0}",20.300000000000004,2,685,5,,,,,,,,,
9,"{'1': 9, '2': 8, '3': 5, '4': 6, '5': 3, '6': 0, '7': 0}",19.700000000000003,2,680,5,,,,,,,,,
10,"{'1': 8, '2': 8, '3': 5, '4': 5, '5': 5, '6': 0, '7': 0}",14.800000000000002,2,712,5,,,,,,,,,
11,"{'1': 11, '2': 8, '3': 4, '4': 4, '5': 4, '6': 0, '7': 0}",19.9,2,689,5,,,,,,,,,
12,"{'1': 9, '2': 7, '3': 6, '4': 5, '5': 4, '6': 0, '7': 0}",17.0,2,696,5,,,,,,,,,
13,"{'1': 7, '2': 6, '3': 6, '4': 5, '5': 7, '6': 0, '7': 0}",15.600000000000003,2,717,5,,,,,,,,,
14,"{'1': 7, '2': 11, '3': 5, '4': 5, '5': 3, '6': 0, '7': 0}",18.8,2,677,5,,,,,,,,,
15,"{'1': 7, '2': 9, '3': 5, '4': 4, '5': 6, '6': 0, '7': 0}",17.0,2,696,5,,,,,,,,,
16,"{'1': 7, '2': 7, '3': 5, '4': 6, '5': 6, '6': 0, '7': 0}",15.600000000000003,2,717,5,,,,,,,,,
17,"{'1': 7, '2': 10, '3': 4, '4': 5, '5': 5, '6': 0, '7': 0}",16.4,2,694,5,,,,,,,,,
18,"{'1': 10, '2': 8, '3': 5, '4': 4, '5': 4, '6': 0, '7': 0}",18.3,2,691,5,,,,,,,,,
19,"{'1': 10, '2': 4, '3': 6, '4': 5, '5': 6, '6': 0, '7': 0}",16.700000000000003,2,695,5,,,,,,,,,
20,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 6, '6': 0, '7': 0}",21.1,2,675,5,,,,,,,,,
