Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 10, '2': 10, '3': 7, '4': 10, '5': 11, '6': 8, '7': 0}",13.6,2,1396,6,,,,,,,,,
1,"{'1': 9, '2': 9, '3': 12, '4': 9, '5': 9, '6': 8, '7': 0}",13.9,2,1424,6,,,,,,,,,
2,"{'1': 7, '2': 8, '3': 7, '4': 10, '5': 13, '6': 11, '7': 0}",13.0,2,1372,6,,,,,,,,,
3,"{'1': 10, '2': 9, '3': 11, '4': 8, '5': 10, '6': 8, '7': 0}",13.799999999999999,2,1410,6,,,,,,,,,
4,"{'1': 11, '2': 11, '3': 10, '4': 8, '5': 9, '6': 7, '7': 0}",13.5,2,1393,6,,,,,,,,,
5,"{'1': 11, '2': 10, '3': 7, '4': 6, '5': 12, '6': 10, '7': 0}",13.0,2,1362,6,,,,,,,,,
6,"{'1': 12, '2': 11, '3': 9, '4': 8, '5': 8, '6': 8, '7': 0}",13.6,2,1405,6,,,,,,,,,
7,"{'1': 14, '2': 8, '3': 8, '4': 9, '5': 9, '6': 8, '7': 0}",13.4,2,1403,6,,,,,,,,,
8,"{'1': 10, '2': 10, '3': 6, '4': 11, '5': 7, '6': 12, '7': 0}",13.0,2,1362,6,,,,,,,,,
9,"{'1': 11, '2': 8, '3': 10, '4': 10, '5': 8, '6': 9, '7': 0}",13.8,2,1410,6,,,,,,,,,
,,,,,,1362,1424,1393.7,13.0,13.9,13.459999999999999,0.003690290451049805,0,"{4: 0, 5: 0, 6: 10, 7: 0}"
