Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 14, '2': 12, '3': 10, '4': 9, '5': 11, '6': 0, '7': 0}",25.5,2,1291,5,,,,,,,,,
1,"{'1': 13, '2': 12, '3': 12, '4': 9, '5': 10, '6': 0, '7': 0}",25.6,2,1293,5,,,,,,,,,
2,"{'1': 12, '2': 12, '3': 8, '4': 11, '5': 13, '6': 0, '7': 0}",25.4,2,1280,5,,,,,,,,,
3,"{'1': 14, '2': 18, '3': 8, '4': 9, '5': 7, '6': 0, '7': 0}",24.1,2,1247,5,,,,,,,,,
4,"{'1': 14, '2': 11, '3': 10, '4': 8, '5': 13, '6': 0, '7': 0}",25.200000000000003,2,1275,5,,,,,,,,,
5,"{'1': 16, '2': 13, '3': 10, '4': 9, '5': 8, '6': 0, '7': 0}",24.9,2,1269,5,,,,,,,,,
6,"{'1': 14, '2': 13, '3': 10, '4': 8, '5': 11, '6': 0, '7': 0}",25.200000000000003,2,1275,5,,,,,,,,,
7,"{'1': 13, '2': 13, '3': 11, '4': 8, '5': 11, '6': 0, '7': 0}",25.200000000000003,2,1279,5,,,,,,,,,
8,"{'1': 14, '2': 12, '3': 9, '4': 10, '5': 11, '6': 0, '7': 0}",25.5,2,1291,5,,,,,,,,,
9,"{'1': 11, '2': 13, '3': 10, '4': 14, '5': 8, '6': 0, '7': 0}",25.200000000000003,2,1275,5,,,,,,,,,
10,"{'1': 14, '2': 9, '3': 12, '4': 11, '5': 10, '6': 0, '7': 0}",25.5,2,1291,5,,,,,,,,,
11,"{'1': 15, '2': 14, '3': 6, '4': 8, '5': 13, '6': 0, '7': 0}",24.1,2,1238,5,,,,,,,,,
12,"{'1': 14, '2': 11, '3': 8, '4': 12, '5': 11, '6': 0, '7': 0}",25.300000000000004,2,1278,5,,,,,,,,,
13,"{'1': 15, '2': 13, '3': 13, '4': 8, '5': 7, '6': 0, '7': 0}",24.5,2,1254,5,,,,,,,,,
14,"{'1': 12, '2': 12, '3': 11, '4': 9, '5': 12, '6': 0, '7': 0}",25.700000000000003,2,1297,5,,,,,,,,,
15,"{'1': 14, '2': 15, '3': 9, '4': 5, '5': 13, '6': 0, '7': 0}",23.6,2,1225,5,,,,,,,,,
16,"{'1': 16, '2': 10, '3': 9, '4': 8, '5': 13, '6': 0, '7': 0}",24.9,2,1269,5,,,,,,,,,
17,"{'1': 15, '2': 14, '3': 6, '4': 9, '5': 12, '6': 0, '7': 0}",24.4,2,1240,5,,,,,,,,,
18,"{'1': 17, '2': 11, '3': 10, '4': 10, '5': 8, '6': 0, '7': 0}",24.9,2,1271,5,,,,,,,,,
19,"{'1': 13, '2': 11, '3': 12, '4': 10, '5': 10, '6': 0, '7': 0}",25.6,2,1308,5,,,,,,,,,
20,"{'1': 14, '2': 11, '3': 10, '4': 9, '5': 12, '6': 0, '7': 0}",25.5,2,1291,5,,,,,,,,,
21,"{'1': 16, '2': 14, '3': 8, '4': 12, '5': 6, '6': 0, '7': 0}",24.1,2,1236,5,,,,,,,,,
,,,,,,1225,1308,1271.5,23.6,25.700000000000003,24.995454545454546,0.004928643053228205,99978,"{4: 0, 5: 22, 6: 0, 7: 0}"
