Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 7, '2': 7, '3': 6, '4': 4, '5': 7, '6': 0, '7': 0}",7.999999999999999,2,702,5,,,,,,,,,
1,"{'1': 10, '2': 8, '3': 6, '4': 3, '5': 4, '6': 0, '7': 0}",12.1,2,676,5,,,,,,,,,
2,"{'1': 8, '2': 8, '3': 6, '4': 4, '5': 5, '6': 0, '7': 0}",7.2,2,697,5,,,,,,,,,
3,"{'1': 5, '2': 7, '3': 8, '4': 6, '5': 5, '6': 0, '7': 0}",5.1,2,713,5,,,,,,,,,
4,"{'1': 8, '2': 8, '3': 5, '4': 5, '5': 5, '6': 0, '7': 0}",4.6000000000000005,2,712,5,,,,,,,,,
5,"{'1': 9, '2': 6, '3': 6, '4': 6, '5': 4, '6': 0, '7': 0}",7.4,2,699,5,,,,,,,,,
6,"{'1': 7, '2': 7, '3': 6, '4': 5, '5': 6, '6': 0, '7': 0}",5.6,2,717,5,,,,,,,,,
7,"{'1': 9, '2': 8, '3': 4, '4': 5, '5': 5, '6': 0, '7': 0}",6.7,2,695,5,,,,,,,,,
8,"{'1': 10, '2': 5, '3': 5, '4': 6, '5': 5, '6': 0, '7': 0}",4.1,2,710,5,,,,,,,,,
9,"{'1': 10, '2': 7, '3': 4, '4': 6, '5': 4, '6': 0, '7': 0}",9.1,2,692,5,,,,,,,,,
10,"{'1': 11, '2': 5, '3': 4, '4': 6, '5': 5, '6': 0, '7': 0}",6.0,2,693,5,,,,,,,,,
11,"{'1': 6, '2': 7, '3': 5, '4': 6, '5': 7, '6': 0, '7': 0}",5.6,2,717,5,,,,,,,,,
12,"{'1': 9, '2': 7, '3': 5, '4': 4, '5': 6, '6': 0, '7': 0}",7.199999999999999,2,696,5,,,,,,,,,
13,"{'1': 4, '2': 8, '3': 7, '4': 6, '5': 6, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
14,"{'1': 9, '2': 5, '3': 6, '4': 6, '5': 5, '6': 0, '7': 0}",4.800000000000001,2,712,5,,,,,,,,,
15,"{'1': 7, '2': 8, '3': 4, '4': 6, '5': 6, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
16,"{'1': 10, '2': 5, '3': 4, '4': 7, '5': 5, '6': 0, '7': 0}",6.499999999999999,2,694,5,,,,,,,,,
17,"{'1': 8, '2': 9, '3': 4, '4': 6, '5': 4, '6': 0, '7': 0}",9.3,2,693,5,,,,,,,,,
18,"{'1': 7, '2': 10, '3': 6, '4': 6, '5': 2, '6': 0, '7': 0}",16.200000000000003,2,666,5,,,,,,,,,
19,"{'1': 7, '2': 8, '3': 6, '4': 3, '5': 7, '6': 0, '7': 0}",11.0,2,685,5,,,,,,,,,
20,"{'1': 8, '2': 7, '3': 5, '4': 5, '5': 6, '6': 0, '7': 0}",5.1,2,713,5,,,,,,,,,
21,"{'1': 5, '2': 10, '3': 8, '4': 5, '5': 3, '6': 0, '7': 0}",9.5,2,678,5,,,,,,,,,
22,"{'1': 6, '2': 7, '3': 6, '4': 8, '5': 4, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
23,"{'1': 9, '2': 8, '3': 6, '4': 4, '5': 4, '6': 0, '7': 0}",9.3,2,693,5,,,,,,,,,
24,"{'1': 7, '2': 7, '3': 7, '4': 5, '5': 5, '6': 0, '7': 0}",5.3999999999999995,2,715,5,,,,,,,,,
25,"{'1': 8, '2': 9, '3': 6, '4': 4, '5': 4, '6': 0, '7': 0}",9.3,2,693,5,,,,,,,,,
26,"{'1': 9, '2': 9, '3': 4, '4': 5, '5': 4, '6': 0, '7': 0}",8.8,2,692,5,,,,,,,,,
27,"{'1': 7, '2': 5, '3': 4, '4': 7, '5': 8, '6': 0, '7': 0}",7.5,2,698,5,,,,,,,,,
28,"{'1': 9, '2': 6, '3': 6, '4': 4, '5': 6, '6': 0, '7': 0}",7.4,2,699,5,,,,,,,,,
29,"{'1': 7, '2': 9, '3': 5, '4': 5, '5': 5, '6': 0, '7': 0}",4.6,2,711,5,,,,,,,,,
30,"{'1': 5, '2': 9, '3': 7, '4': 5, '5': 5, '6': 0, '7': 0}",4.6,2,711,5,,,,,,,,,
31,"{'1': 7, '2': 8, '3': 4, '4': 5, '5': 7, '6': 0, '7': 0}",7.499999999999999,2,698,5,,,,,,,,,
32,"{'1': 10, '2': 8, '3': 2, '4': 4, '5': 7, '6': 0, '7': 0}",18.1,2,661,5,,,,,,,,,
33,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 4, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
34,"{'1': 7, '2': 5, '3': 6, '4': 6, '5': 7, '6': 0, '7': 0}",5.6,2,717,5,,,,,,,,,
35,"{'1': 9, '2': 6, '3': 6, '4': 4, '5': 6, '6': 0, '7': 0}",7.4,2,699,5,,,,,,,,,
36,"{'1': 10, '2': 9, '3': 3, '4': 5, '5': 4, '6': 0, '7': 0}",11.6,2,675,5,,,,,,,,,
37,"{'1': 6, '2': 8, '3': 6, '4': 6, '5': 5, '6': 0, '7': 0}",5.300000000000001,2,716,5,,,,,,,,,
38,"{'1': 10, '2': 6, '3': 8, '4': 4, '5': 3, '6': 0, '7': 0}",12.100000000000001,2,676,5,,,,,,,,,
39,"{'1': 8, '2': 8, '3': 6, '4': 5, '5': 4, '6': 0, '7': 0}",7.2,2,697,5,,,,,,,,,
40,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
41,"{'1': 10, '2': 8, '3': 4, '4': 6, '5': 3, '6': 0, '7': 0}",12.100000000000001,2,676,5,,,,,,,,,
42,"{'1': 9, '2': 9, '3': 4, '4': 5, '5': 4, '6': 0, '7': 0}",8.8,2,692,5,,,,,,,,,
43,"{'1': 8, '2': 5, '3': 7, '4': 5, '5': 6, '6': 0, '7': 0}",5.1,2,713,5,,,,,,,,,
44,"{'1': 8, '2': 6, '3': 6, '4': 4, '5': 7, '6': 0, '7': 0}",7.7,2,700,5,,,,,,,,,
45,"{'1': 8, '2': 7, '3': 6, '4': 4, '5': 6, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
46,"{'1': 7, '2': 8, '3': 5, '4': 4, '5': 7, '6': 0, '7': 0}",7.499999999999999,2,698,5,,,,,,,,,
47,"{'1': 6, '2': 7, '3': 6, '4': 7, '5': 5, '6': 0, '7': 0}",5.6,2,717,5,,,,,,,,,
48,"{'1': 9, '2': 6, '3': 7, '4': 4, '5': 5, '6': 0, '7': 0}",7.199999999999999,2,696,5,,,,,,,,,
49,"{'1': 6, '2': 9, '3': 5, '4': 5, '5': 6, '6': 0, '7': 0}",4.800000000000001,2,712,5,,,,,,,,,
50,"{'1': 7, '2': 8, '3': 7, '4': 5, '5': 4, '6': 0, '7': 0}",7.499999999999999,2,698,5,,,,,,,,,
51,"{'1': 10, '2': 7, '3': 4, '4': 5, '5': 5, '6': 0, '7': 0}",6.5,2,694,5,,,,,,,,,
52,"{'1': 6, '2': 8, '3': 6, '4': 5, '5': 6, '6': 0, '7': 0}",5.300000000000001,2,716,5,,,,,,,,,
53,"{'1': 9, '2': 8, '3': 5, '4': 5, '5': 4, '6': 0, '7': 0}",6.7,2,695,5,,,,,,,,,
54,"{'1': 8, '2': 9, '3': 6, '4': 5, '5': 3, '6': 0, '7': 0}",10.200000000000001,2,680,5,,,,,,,,,
55,"{'1': 7, '2': 9, '3': 5, '4': 7, '5': 3, '6': 0, '7': 0}",10.5,2,681,5,,,,,,,,,
56,"{'1': 8, '2': 6, '3': 6, '4': 7, '5': 4, '6': 0, '7': 0}",7.7,2,700,5,,,,,,,,,
57,"{'1': 9, '2': 5, '3': 6, '4': 5, '5': 6, '6': 0, '7': 0}",4.800000000000001,2,712,5,,,,,,,,,
58,"{'1': 8, '2': 10, '3': 4, '4': 5, '5': 4, '6': 0, '7': 0}",8.6,2,691,5,,,,,,,,,
59,"{'1': 8, '2': 6, '3': 5, '4': 6, '5': 6, '6': 0, '7': 0}",5.300000000000001,2,716,5,,,,,,,,,
60,"{'1': 6, '2': 6, '3': 5, '4': 5, '5': 9, '6': 0, '7': 0}",4.800000000000001,2,712,5,,,,,,,,,
61,"{'1': 10, '2': 5, '3': 4, '4': 5, '5': 7, '6': 0, '7': 0}",6.499999999999999,2,694,5,,,,,,,,,
62,"{'1': 9, '2': 8, '3': 3, '4': 6, '5': 5, '6': 0, '7': 0}",10.200000000000001,2,680,5,,,,,,,,,
63,"{'1': 7, '2': 6, '3': 4, '4': 6, '5': 8, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
64,"{'1': 9, '2': 8, '3': 5, '4': 6, '5': 3, '6': 0, '7': 0}",10.200000000000001,2,680,5,,,,,,,,,
65,"{'1': 7, '2': 8, '3': 5, '4': 5, '5': 6, '6': 0, '7': 0}",5.1,2,713,5,,,,,,,,,
66,"{'1': 7, '2': 8, '3': 7, '4': 4, '5': 5, '6': 0, '7': 0}",7.499999999999999,2,698,5,,,,,,,,,
67,"{'1': 10, '2': 7, '3': 5, '4': 5, '5': 4, '6': 0, '7': 0}",6.5,2,694,5,,,,,,,,,
68,"{'1': 9, '2': 5, '3': 5, '4': 7, '5': 5, '6': 0, '7': 0}",4.6,2,711,5,,,,,,,,,
69,"{'1': 9, '2': 7, '3': 6, '4': 3, '5': 6, '6': 0, '7': 0}",10.7,2,683,5,,,,,,,,,
70,"{'1': 9, '2': 8, '3': 5, '4': 7, '5': 2, '6': 0, '7': 0}",16.200000000000003,2,665,5,,,,,,,,,
71,"{'1': 9, '2': 7, '3': 5, '4': 5, '5': 5, '6': 0, '7': 0}",4.6,2,711,5,,,,,,,,,
72,"{'1': 7, '2': 10, '3': 4, '4': 4, '5': 6, '6': 0, '7': 0}",9.1,2,692,5,,,,,,,,,
73,"{'1': 7, '2': 6, '3': 4, '4': 6, '5': 8, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
74,"{'1': 8, '2': 10, '3': 6, '4': 3, '5': 4, '6': 0, '7': 0}",12.1,2,676,5,,,,,,,,,
75,"{'1': 8, '2': 7, '3': 6, '4': 5, '5': 5, '6': 0, '7': 0}",5.1,2,713,5,,,,,,,,,
76,"{'1': 9, '2': 10, '3': 3, '4': 4, '5': 5, '6': 0, '7': 0}",11.6,2,675,5,,,,,,,,,
77,"{'1': 10, '2': 6, '3': 5, '4': 5, '5': 5, '6': 0, '7': 0}",4.1,2,710,5,,,,,,,,,
78,"{'1': 9, '2': 9, '3': 2, '4': 5, '5': 6, '6': 0, '7': 0}",15.900000000000002,2,664,5,,,,,,,,,
79,"{'1': 7, '2': 8, '3': 6, '4': 6, '5': 4, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
80,"{'1': 9, '2': 5, '3': 7, '4': 6, '5': 4, '6': 0, '7': 0}",7.199999999999999,2,696,5,,,,,,,,,
81,"{'1': 9, '2': 7, '3': 5, '4': 4, '5': 6, '6': 0, '7': 0}",7.199999999999999,2,696,5,,,,,,,,,
82,"{'1': 9, '2': 6, '3': 5, '4': 4, '5': 7, '6': 0, '7': 0}",7.2,2,696,5,,,,,,,,,
83,"{'1': 7, '2': 10, '3': 5, '4': 4, '5': 5, '6': 0, '7': 0}",6.5,2,694,5,,,,,,,,,
84,"{'1': 6, '2': 8, '3': 6, '4': 8, '5': 3, '6': 0, '7': 0}",10.700000000000003,2,684,5,,,,,,,,,
85,"{'1': 9, '2': 7, '3': 4, '4': 6, '5': 5, '6': 0, '7': 0}",7.199999999999999,2,696,5,,,,,,,,,
86,"{'1': 9, '2': 6, '3': 6, '4': 6, '5': 4, '6': 0, '7': 0}",7.4,2,699,5,,,,,,,,,
87,"{'1': 7, '2': 8, '3': 6, '4': 4, '5': 6, '6': 0, '7': 0}",7.699999999999999,2,700,5,,,,,,,,,
