Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 12, '2': 10, '3': 7, '4': 6, '5': 8, '6': 10, '7': 3}",21.1,2,1410,7,,,,,,,,,
1,"{'1': 16, '2': 9, '3': 4, '4': 10, '5': 7, '6': 5, '7': 5}",21.099999999999998,2,1371,7,,,,,,,,,
2,"{'1': 12, '2': 10, '3': 7, '4': 4, '5': 8, '6': 6, '7': 9}",15.8,2,1427,7,,,,,,,,,
3,"{'1': 12, '2': 5, '3': 11, '4': 8, '5': 7, '6': 5, '7': 8}",14.599999999999998,2,1427,7,,,,,,,,,
4,"{'1': 11, '2': 13, '3': 5, '4': 9, '5': 5, '6': 7, '7': 6}",16.1,2,1408,7,,,,,,,,,
5,"{'1': 11, '2': 12, '3': 4, '4': 9, '5': 6, '6': 6, '7': 8}",17.6,2,1411,7,,,,,,,,,
6,"{'1': 10, '2': 9, '3': 9, '4': 10, '5': 5, '6': 7, '7': 6}",12.9,2,1450,7,,,,,,,,,
7,"{'1': 12, '2': 9, '3': 6, '4': 8, '5': 7, '6': 9, '7': 5}",12.399999999999999,2,1445,7,,,,,,,,,
8,"{'1': 13, '2': 12, '3': 6, '4': 9, '5': 7, '6': 4, '7': 5}",19.3,2,1390,7,,,,,,,,,
9,"{'1': 11, '2': 8, '3': 7, '4': 10, '5': 6, '6': 8, '7': 6}",9.900000000000002,2,1463,7,,,,,,,,,
10,"{'1': 11, '2': 14, '3': 6, '4': 4, '5': 6, '6': 6, '7': 9}",18.600000000000005,2,1403,7,,,,,,,,,
11,"{'1': 11, '2': 8, '3': 10, '4': 5, '5': 10, '6': 5, '7': 7}",15.1,2,1430,7,,,,,,,,,
12,"{'1': 12, '2': 11, '3': 6, '4': 7, '5': 7, '6': 5, '7': 8}",11.7,2,1441,7,,,,,,,,,
13,"{'1': 11, '2': 10, '3': 4, '4': 7, '5': 10, '6': 6, '7': 8}",16.0,2,1429,7,,,,,,,,,
14,"{'1': 14, '2': 10, '3': 8, '4': 7, '5': 9, '6': 3, '7': 5}",23.099999999999998,2,1390,7,,,,,,,,,
15,"{'1': 17, '2': 10, '3': 6, '4': 5, '5': 6, '6': 6, '7': 6}",15.500000000000004,2,1415,7,,,,,,,,,
16,"{'1': 10, '2': 14, '3': 3, '4': 8, '5': 7, '6': 7, '7': 7}",18.1,2,1420,7,,,,,,,,,
17,"{'1': 9, '2': 10, '3': 12, '4': 7, '5': 5, '6': 5, '7': 8}",14.899999999999999,2,1428,7,,,,,,,,,
18,"{'1': 15, '2': 9, '3': 5, '4': 7, '5': 6, '6': 4, '7': 10}",19.0,2,1388,7,,,,,,,,,
19,"{'1': 10, '2': 13, '3': 10, '4': 5, '5': 8, '6': 3, '7': 7}",23.4,2,1392,7,,,,,,,,,
20,"{'1': 13, '2': 13, '3': 6, '4': 3, '5': 8, '6': 5, '7': 8}",24.599999999999998,2,1374,7,,,,,,,,,
21,"{'1': 11, '2': 13, '3': 6, '4': 8, '5': 6, '6': 6, '7': 6}",12.800000000000004,2,1439,7,,,,,,,,,
22,"{'1': 10, '2': 11, '3': 7, '4': 9, '5': 3, '6': 6, '7': 10}",21.5,2,1414,7,,,,,,,,,
23,"{'1': 15, '2': 11, '3': 9, '4': 3, '5': 4, '6': 5, '7': 9}",30.7,2,1343,7,,,,,,,,,
24,"{'1': 9, '2': 11, '3': 7, '4': 8, '5': 8, '6': 5, '7': 8}",10.899999999999999,2,1478,7,,,,,,,,,
25,"{'1': 14, '2': 14, '3': 4, '4': 6, '5': 8, '6': 4, '7': 6}",23.6,2,1368,7,,,,,,,,,
26,"{'1': 9, '2': 10, '3': 10, '4': 10, '5': 8, '6': 4, '7': 5}",19.2,2,1432,7,,,,,,,,,
27,"{'1': 10, '2': 12, '3': 8, '4': 8, '5': 7, '6': 4, '7': 7}",13.7,2,1443,7,,,,,,,,,
28,"{'1': 12, '2': 9, '3': 5, '4': 6, '5': 7, '6': 6, '7': 11}",13.8,2,1426,7,,,,,,,,,
29,"{'1': 12, '2': 12, '3': 7, '4': 5, '5': 11, '6': 4, '7': 5}",21.9,2,1377,7,,,,,,,,,
30,"{'1': 10, '2': 13, '3': 6, '4': 9, '5': 4, '6': 5, '7': 9}",20.2,2,1396,7,,,,,,,,,
31,"{'1': 13, '2': 8, '3': 8, '4': 6, '5': 7, '6': 7, '7': 7}",7.000000000000001,2,1475,7,,,,,,,,,
32,"{'1': 13, '2': 8, '3': 9, '4': 5, '5': 8, '6': 7, '7': 6}",12.0,2,1443,7,,,,,,,,,
33,"{'1': 11, '2': 13, '3': 7, '4': 7, '5': 7, '6': 5, '7': 6}",11.100000000000001,2,1439,7,,,,,,,,,
