Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 29, '2': 20, '3': 18, '4': 16, '5': 0, '6': 0, '7': 0}",16.5,2,1697,4,,,,,,,,,
1,"{'1': 28, '2': 22, '3': 18, '4': 15, '5': 0, '6': 0, '7': 0}",17.0,2,1695,4,,,,,,,,,
2,"{'1': 26, '2': 20, '3': 22, '4': 15, '5': 0, '6': 0, '7': 0}",13.0,2,1699,4,,,,,,,,,
3,"{'1': 32, '2': 20, '3': 15, '4': 16, '5': 0, '6': 0, '7': 0}",22.5,2,1689,4,,,,,,,,,
4,"{'1': 27, '2': 23, '3': 18, '4': 15, '5': 0, '6': 0, '7': 0}",17.0,2,1696,4,,,,,,,,,
5,"{'1': 26, '2': 23, '3': 17, '4': 17, '5': 0, '6': 0, '7': 0}",15.0,2,1702,4,,,,,,,,,
6,"{'1': 23, '2': 23, '3': 23, '4': 14, '5': 0, '6': 0, '7': 0}",13.5,2,1702,4,,,,,,,,,
7,"{'1': 26, '2': 22, '3': 20, '4': 15, '5': 0, '6': 0, '7': 0}",13.0,2,1699,4,,,,,,,,,
8,"{'1': 28, '2': 21, '3': 16, '4': 18, '5': 0, '6': 0, '7': 0}",15.0,2,1698,4,,,,,,,,,
9,"{'1': 24, '2': 20, '3': 24, '4': 15, '5': 0, '6': 0, '7': 0}",13.0,2,1701,4,,,,,,,,,
10,"{'1': 24, '2': 21, '3': 20, '4': 18, '5': 0, '6': 0, '7': 0}",7.0,2,1710,4,,,,,,,,,
11,"{'1': 28, '2': 19, '3': 22, '4': 14, '5': 0, '6': 0, '7': 0}",17.0,2,1693,4,,,,,,,,,
12,"{'1': 26, '2': 22, '3': 17, '4': 18, '5': 0, '6': 0, '7': 0}",13.0,2,1703,4,,,,,,,,,
13,"{'1': 23, '2': 23, '3': 20, '4': 17, '5': 0, '6': 0, '7': 0}",9.0,2,1708,4,,,,,,,,,
14,"{'1': 27, '2': 22, '3': 20, '4': 14, '5': 0, '6': 0, '7': 0}",15.0,2,1695,4,,,,,,,,,
15,"{'1': 27, '2': 22, '3': 16, '4': 18, '5': 0, '6': 0, '7': 0}",15.0,2,1699,4,,,,,,,,,
16,"{'1': 31, '2': 17, '3': 18, '4': 17, '5': 0, '6': 0, '7': 0}",20.5,2,1697,4,,,,,,,,,
17,"{'1': 27, '2': 24, '3': 15, '4': 17, '5': 0, '6': 0, '7': 0}",19.0,2,1695,4,,,,,,,,,
18,"{'1': 25, '2': 23, '3': 18, '4': 17, '5': 0, '6': 0, '7': 0}",13.0,2,1704,4,,,,,,,,,
19,"{'1': 28, '2': 22, '3': 20, '4': 13, '5': 0, '6': 0, '7': 0}",17.0,2,1691,4,,,,,,,,,
20,"{'1': 23, '2': 21, '3': 19, '4': 20, '5': 0, '6': 0, '7': 0}",5.0,2,1714,4,,,,,,,,,
21,"{'1': 26, '2': 19, '3': 24, '4': 14, '5': 0, '6': 0, '7': 0}",17.0,2,1695,4,,,,,,,,,
22,"{'1': 27, '2': 18, '3': 19, '4': 19, '5': 0, '6': 0, '7': 0}",12.5,2,1706,4,,,,,,,,,
23,"{'1': 26, '2': 21, '3': 20, '4': 16, '5': 0, '6': 0, '7': 0}",11.0,2,1702,4,,,,,,,,,
24,"{'1': 26, '2': 24, '3': 15, '4': 18, '5': 0, '6': 0, '7': 0}",17.0,2,1697,4,,,,,,,,,
25,"{'1': 27, '2': 22, '3': 21, '4': 13, '5': 0, '6': 0, '7': 0}",15.5,2,1693,4,,,,,,,,,
26,"{'1': 28, '2': 24, '3': 17, '4': 14, '5': 0, '6': 0, '7': 0}",21.0,2,1691,4,,,,,,,,,
27,"{'1': 25, '2': 19, '3': 22, '4': 17, '5': 0, '6': 0, '7': 0}",11.0,2,1705,4,,,,,,,,,
28,"{'1': 23, '2': 23, '3': 19, '4': 18, '5': 0, '6': 0, '7': 0}",9.0,2,1710,4,,,,,,,,,
29,"{'1': 24, '2': 22, '3': 18, '4': 19, '5': 0, '6': 0, '7': 0}",9.0,2,1709,4,,,,,,,,,
30,"{'1': 26, '2': 21, '3': 17, '4': 19, '5': 0, '6': 0, '7': 0}",11.0,2,1704,4,,,,,,,,,
