Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 20, '2': 13, '3': 14, '4': 6, '5': 3, '6': 0, '7': 0}",26.8,2,1179,5,,,,,,,,,
1,"{'1': 20, '2': 15, '3': 13, '4': 6, '5': 2, '6': 0, '7': 0}",28.8,2,1163,5,,,,,,,,,
2,"{'1': 22, '2': 12, '3': 10, '4': 6, '5': 6, '6': 0, '7': 0}",23.2,2,1222,5,,,,,,,,,
3,"{'1': 20, '2': 13, '3': 11, '4': 7, '5': 5, '6': 0, '7': 0}",21.2,2,1212,5,,,,,,,,,
4,"{'1': 19, '2': 13, '3': 13, '4': 7, '5': 4, '6': 0, '7': 0}",22.8,2,1199,5,,,,,,,,,
5,"{'1': 21, '2': 12, '3': 11, '4': 9, '5': 3, '6': 0, '7': 0}",21.2,2,1185,5,,,,,,,,,
6,"{'1': 21, '2': 12, '3': 13, '4': 6, '5': 4, '6': 0, '7': 0}",24.8,2,1193,5,,,,,,,,,
7,"{'1': 19, '2': 15, '3': 11, '4': 7, '5': 4, '6': 0, '7': 0}",23.2,2,1197,5,,,,,,,,,
8,"{'1': 22, '2': 13, '3': 10, '4': 7, '5': 4, '6': 0, '7': 0}",25.2,2,1193,5,,,,,,,,,
9,"{'1': 19, '2': 10, '3': 13, '4': 6, '5': 8, '6': 0, '7': 0}",19.2,2,1231,5,,,,,,,,,
10,"{'1': 22, '2': 13, '3': 11, '4': 8, '5': 2, '6': 0, '7': 0}",25.2,2,1165,5,,,,,,,,,
11,"{'1': 21, '2': 12, '3': 10, '4': 7, '5': 6, '6': 0, '7': 0}",21.2,2,1226,5,,,,,,,,,
12,"{'1': 22, '2': 14, '3': 10, '4': 6, '5': 4, '6': 0, '7': 0}",27.2,2,1190,5,,,,,,,,,
13,"{'1': 19, '2': 16, '3': 9, '4': 8, '5': 4, '6': 0, '7': 0}",25.2,2,1198,5,,,,,,,,,
14,"{'1': 19, '2': 13, '3': 10, '4': 10, '5': 4, '6': 0, '7': 0}",19.2,2,1205,5,,,,,,,,,
15,"{'1': 20, '2': 14, '3': 10, '4': 7, '5': 5, '6': 0, '7': 0}",23.2,2,1211,5,,,,,,,,,
16,"{'1': 20, '2': 13, '3': 12, '4': 9, '5': 2, '6': 0, '7': 0}",22.8,2,1171,5,,,,,,,,,
17,"{'1': 20, '2': 11, '3': 12, '4': 7, '5': 6, '6': 0, '7': 0}",19.2,2,1228,5,,,,,,,,,
18,"{'1': 21, '2': 13, '3': 11, '4': 8, '5': 3, '6': 0, '7': 0}",23.2,2,1182,5,,,,,,,,,
19,"{'1': 19, '2': 15, '3': 10, '4': 10, '5': 2, '6': 0, '7': 0}",23.2,2,1173,5,,,,,,,,,
20,"{'1': 22, '2': 14, '3': 6, '4': 8, '5': 6, '6': 0, '7': 0}",27.2,2,1220,5,,,,,,,,,
21,"{'1': 22, '2': 15, '3': 10, '4': 8, '5': 1, '6': 0, '7': 0}",29.2,2,1148,5,,,,,,,,,
22,"{'1': 19, '2': 13, '3': 14, '4': 7, '5': 3, '6': 0, '7': 0}",24.8,2,1183,5,,,,,,,,,
23,"{'1': 21, '2': 11, '3': 13, '4': 9, '5': 2, '6': 0, '7': 0}",23.2,2,1169,5,,,,,,,,,
24,"{'1': 22, '2': 13, '3': 11, '4': 6, '5': 4, '6': 0, '7': 0}",25.2,2,1191,5,,,,,,,,,
25,"{'1': 19, '2': 14, '3': 10, '4': 7, '5': 6, '6': 0, '7': 0}",21.2,2,1228,5,,,,,,,,,
26,"{'1': 22, '2': 12, '3': 9, '4': 7, '5': 6, '6': 0, '7': 0}",23.2,2,1224,5,,,,,,,,,
27,"{'1': 19, '2': 15, '3': 11, '4': 8, '5': 3, '6': 0, '7': 0}",23.2,2,1184,5,,,,,,,,,
28,"{'1': 19, '2': 14, '3': 9, '4': 8, '5': 6, '6': 0, '7': 0}",21.2,2,1230,5,,,,,,,,,
29,"{'1': 20, '2': 13, '3': 11, '4': 8, '5': 4, '6': 0, '7': 0}",21.2,2,1199,5,,,,,,,,,
30,"{'1': 20, '2': 12, '3': 11, '4': 10, '5': 3, '6': 0, '7': 0}",19.2,2,1189,5,,,,,,,,,
31,"{'1': 20, '2': 12, '3': 13, '4': 7, '5': 4, '6': 0, '7': 0}",22.8,2,1197,5,,,,,,,,,
32,"{'1': 19, '2': 14, '3': 11, '4': 6, '5': 6, '6': 0, '7': 0}",21.2,2,1226,5,,,,,,,,,
33,"{'1': 24, '2': 13, '3': 10, '4': 8, '5': 1, '6': 0, '7': 0}",29.2,2,1146,5,,,,,,,,,
34,"{'1': 21, '2': 13, '3': 10, '4': 9, '5': 3, '6': 0, '7': 0}",23.2,2,1184,5,,,,,,,,,
35,"{'1': 21, '2': 12, '3': 11, '4': 6, '5': 6, '6': 0, '7': 0}",21.2,2,1224,5,,,,,,,,,
36,"{'1': 20, '2': 13, '3': 11, '4': 9, '5': 3, '6': 0, '7': 0}",21.2,2,1186,5,,,,,,,,,
37,"{'1': 20, '2': 14, '3': 10, '4': 9, '5': 3, '6': 0, '7': 0}",23.2,2,1185,5,,,,,,,,,
38,"{'1': 19, '2': 13, '3': 13, '4': 4, '5': 7, '6': 0, '7': 0}",22.8,2,1199,5,,,,,,,,,
39,"{'1': 20, '2': 15, '3': 10, '4': 8, '5': 3, '6': 0, '7': 0}",25.2,2,1182,5,,,,,,,,,
40,"{'1': 18, '2': 16, '3': 12, '4': 7, '5': 3, '6': 0, '7': 0}",24.8,2,1183,5,,,,,,,,,
41,"{'1': 22, '2': 13, '3': 10, '4': 6, '5': 5, '6': 0, '7': 0}",25.2,2,1206,5,,,,,,,,,
42,"{'1': 22, '2': 10, '3': 10, '4': 8, '5': 6, '6': 0, '7': 0}",21.599999999999998,2,1228,5,,,,,,,,,
43,"{'1': 19, '2': 12, '3': 12, '4': 8, '5': 5, '6': 0, '7': 0}",18.8,2,1217,5,,,,,,,,,
44,"{'1': 20, '2': 13, '3': 8, '4': 10, '5': 5, '6': 0, '7': 0}",21.2,2,1214,5,,,,,,,,,
45,"{'1': 19, '2': 14, '3': 13, '4': 5, '5': 5, '6': 0, '7': 0}",24.8,2,1209,5,,,,,,,,,
46,"{'1': 20, '2': 12, '3': 10, '4': 7, '5': 7, '6': 0, '7': 0}",19.2,2,1243,5,,,,,,,,,
47,"{'1': 22, '2': 13, '3': 9, '4': 9, '5': 3, '6': 0, '7': 0}",25.2,2,1182,5,,,,,,,,,
48,"{'1': 22, '2': 13, '3': 11, '4': 7, '5': 3, '6': 0, '7': 0}",25.2,2,1178,5,,,,,,,,,
49,"{'1': 18, '2': 16, '3': 10, '4': 7, '5': 5, '6': 0, '7': 0}",23.2,2,1213,5,,,,,,,,,
50,"{'1': 20, '2': 14, '3': 8, '4': 9, '5': 5, '6': 0, '7': 0}",23.2,2,1213,5,,,,,,,,,
51,"{'1': 20, '2': 14, '3': 10, '4': 9, '5': 3, '6': 0, '7': 0}",23.2,2,1185,5,,,,,,,,,
52,"{'1': 22, '2': 12, '3': 8, '4': 7, '5': 7, '6': 0, '7': 0}",23.2,2,1239,5,,,,,,,,,
53,"{'1': 22, '2': 13, '3': 11, '4': 6, '5': 4, '6': 0, '7': 0}",25.2,2,1191,5,,,,,,,,,
54,"{'1': 18, '2': 12, '3': 11, '4': 11, '5': 4, '6': 0, '7': 0}",15.2,2,1210,5,,,,,,,,,
55,"{'1': 24, '2': 11, '3': 8, '4': 9, '5': 4, '6': 0, '7': 0}",25.599999999999998,2,1193,5,,,,,,,,,
56,"{'1': 23, '2': 13, '3': 12, '4': 7, '5': 1, '6': 0, '7': 0}",28.8,2,1146,5,,,,,,,,,
57,"{'1': 20, '2': 13, '3': 12, '4': 6, '5': 5, '6': 0, '7': 0}",22.8,2,1210,5,,,,,,,,,
58,"{'1': 20, '2': 15, '3': 13, '4': 5, '5': 3, '6': 0, '7': 0}",28.8,2,1176,5,,,,,,,,,
59,"{'1': 22, '2': 13, '3': 11, '4': 7, '5': 3, '6': 0, '7': 0}",25.2,2,1178,5,,,,,,,,,
60,"{'1': 19, '2': 15, '3': 12, '4': 7, '5': 3, '6': 0, '7': 0}",24.8,2,1182,5,,,,,,,,,
61,"{'1': 22, '2': 15, '3': 9, '4': 5, '5': 5, '6': 0, '7': 0}",29.2,2,1202,5,,,,,,,,,
62,"{'1': 18, '2': 12, '3': 14, '4': 8, '5': 4, '6': 0, '7': 0}",20.8,2,1202,5,,,,,,,,,
63,"{'1': 20, '2': 13, '3': 12, '4': 8, '5': 3, '6': 0, '7': 0}",22.8,2,1184,5,,,,,,,,,
64,"{'1': 19, '2': 14, '3': 14, '4': 7, '5': 2, '6': 0, '7': 0}",26.8,2,1168,5,,,,,,,,,
65,"{'1': 21, '2': 15, '3': 10, '4': 7, '5': 3, '6': 0, '7': 0}",27.2,2,1178,5,,,,,,,,,
66,"{'1': 20, '2': 14, '3': 11, '4': 10, '5': 1, '6': 0, '7': 0}",23.2,2,1157,5,,,,,,,,,
67,"{'1': 21, '2': 10, '3': 9, '4': 7, '5': 9, '6': 0, '7': 0}",19.599999999999998,2,1247,5,,,,,,,,,
68,"{'1': 20, '2': 17, '3': 8, '4': 5, '5': 6, '6': 0, '7': 0}",29.2,2,1206,5,,,,,,,,,
69,"{'1': 21, '2': 14, '3': 13, '4': 5, '5': 3, '6': 0, '7': 0}",28.8,2,1175,5,,,,,,,,,
70,"{'1': 19, '2': 12, '3': 12, '4': 8, '5': 5, '6': 0, '7': 0}",18.8,2,1217,5,,,,,,,,,
71,"{'1': 21, '2': 16, '3': 8, '4': 8, '5': 3, '6': 0, '7': 0}",29.2,2,1179,5,,,,,,,,,
72,"{'1': 24, '2': 13, '3': 7, '4': 8, '5': 4, '6': 0, '7': 0}",29.2,2,1189,5,,,,,,,,,
73,"{'1': 21, '2': 13, '3': 9, '4': 7, '5': 6, '6': 0, '7': 0}",23.2,2,1225,5,,,,,,,,,
74,"{'1': 22, '2': 14, '3': 11, '4': 6, '5': 3, '6': 0, '7': 0}",27.2,2,1175,5,,,,,,,,,
75,"{'1': 20, '2': 14, '3': 11, '4': 7, '5': 4, '6': 0, '7': 0}",23.2,2,1196,5,,,,,,,,,
76,"{'1': 18, '2': 12, '3': 11, '4': 10, '5': 5, '6': 0, '7': 0}",15.2,2,1223,5,,,,,,,,,
77,"{'1': 20, '2': 17, '3': 11, '4': 5, '5': 3, '6': 0, '7': 0}",29.2,2,1174,5,,,,,,,,,
78,"{'1': 20, '2': 13, '3': 11, '4': 9, '5': 3, '6': 0, '7': 0}",21.2,2,1186,5,,,,,,,,,
79,"{'1': 21, '2': 13, '3': 11, '4': 7, '5': 4, '6': 0, '7': 0}",23.2,2,1195,5,,,,,,,,,
80,"{'1': 21, '2': 13, '3': 10, '4': 7, '5': 5, '6': 0, '7': 0}",23.2,2,1210,5,,,,,,,,,
81,"{'1': 20, '2': 14, '3': 8, '4': 11, '5': 3, '6': 0, '7': 0}",23.2,2,1183,5,,,,,,,,,
82,"{'1': 21, '2': 16, '3': 9, '4': 6, '5': 4, '6': 0, '7': 0}",29.2,2,1190,5,,,,,,,,,
83,"{'1': 19, '2': 12, '3': 12, '4': 7, '5': 6, '6': 0, '7': 0}",18.8,2,1230,5,,,,,,,,,
84,"{'1': 18, '2': 16, '3': 12, '4': 6, '5': 4, '6': 0, '7': 0}",24.8,2,1196,5,,,,,,,,,
85,"{'1': 22, '2': 13, '3': 10, '4': 5, '5': 6, '6': 0, '7': 0}",25.2,2,1206,5,,,,,,,,,
86,"{'1': 20, '2': 13, '3': 13, '4': 7, '5': 3, '6': 0, '7': 0}",24.8,2,1182,5,,,,,,,,,
87,"{'1': 22, '2': 15, '3': 8, '4': 7, '5': 4, '6': 0, '7': 0}",29.2,2,1191,5,,,,,,,,,
88,"{'1': 19, '2': 13, '3': 13, '4': 8, '5': 3, '6': 0, '7': 0}",22.8,2,1186,5,,,,,,,,,
89,"{'1': 18, '2': 11, '3': 11, '4': 12, '5': 4, '6': 0, '7': 0}",15.2,2,1210,5,,,,,,,,,
90,"{'1': 21, '2': 12, '3': 10, '4': 9, '5': 4, '6': 0, '7': 0}",21.2,2,1200,5,,,,,,,,,
91,"{'1': 19, '2': 15, '3': 12, '4': 5, '5': 5, '6': 0, '7': 0}",24.8,2,1208,5,,,,,,,,,
92,"{'1': 20, '2': 12, '3': 11, '4': 9, '5': 4, '6': 0, '7': 0}",19.2,2,1202,5,,,,,,,,,
93,"{'1': 20, '2': 14, '3': 9, '4': 7, '5': 6, '6': 0, '7': 0}",23.2,2,1226,5,,,,,,,,,
94,"{'1': 18, '2': 13, '3': 12, '4': 8, '5': 5, '6': 0, '7': 0}",18.8,2,1218,5,,,,,,,,,
95,"{'1': 18, '2': 16, '3': 8, '4': 9, '5': 5, '6': 0, '7': 0}",23.2,2,1215,5,,,,,,,,,
96,"{'1': 20, '2': 13, '3': 11, '4': 8, '5': 4, '6': 0, '7': 0}",21.2,2,1199,5,,,,,,,,,
97,"{'1': 20, '2': 14, '3': 11, '4': 6, '5': 5, '6': 0, '7': 0}",23.2,2,1209,5,,,,,,,,,
98,"{'1': 24, '2': 8, '3': 11, '4': 6, '5': 7, '6': 0, '7': 0}",25.599999999999998,2,1221,5,,,,,,,,,
99,"{'1': 19, '2': 12, '3': 14, '4': 7, '5': 4, '6': 0, '7': 0}",22.8,2,1198,5,,,,,,,,,
,,,,,,1146,1247,1197.71,15.2,29.2,23.568,0.0036478328704833986,0,"{4: 0, 5: 100, 6: 0, 7: 0}"
