Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 17, '2': 13, '3': 13, '4': 13, '5': 0, '6': 0, '7': 0}",6.0,2,1155,4,,,,,,,,,
1,"{'1': 13, '2': 18, '3': 13, '4': 12, '5': 0, '6': 0, '7': 0}",8.0,2,1151,4,,,,,,,,,
2,"{'1': 15, '2': 13, '3': 13, '4': 15, '5': 0, '6': 0, '7': 0}",4.0,2,1157,4,,,,,,,,,
3,"{'1': 18, '2': 13, '3': 12, '4': 13, '5': 0, '6': 0, '7': 0}",8.0,2,1151,4,,,,,,,,,
4,"{'1': 14, '2': 13, '3': 15, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
5,"{'1': 15, '2': 13, '3': 15, '4': 13, '5': 0, '6': 0, '7': 0}",4.0,2,1157,4,,,,,,,,,
6,"{'1': 14, '2': 13, '3': 14, '4': 15, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
7,"{'1': 14, '2': 14, '3': 12, '4': 16, '5': 0, '6': 0, '7': 0}",4.0,2,1154,4,,,,,,,,,
8,"{'1': 14, '2': 14, '3': 16, '4': 12, '5': 0, '6': 0, '7': 0}",4.0,2,1154,4,,,,,,,,,
9,"{'1': 16, '2': 12, '3': 15, '4': 13, '5': 0, '6': 0, '7': 0}",6.0,2,1153,4,,,,,,,,,
10,"{'1': 18, '2': 13, '3': 12, '4': 13, '5': 0, '6': 0, '7': 0}",8.0,2,1151,4,,,,,,,,,
11,"{'1': 13, '2': 13, '3': 15, '4': 15, '5': 0, '6': 0, '7': 0}",4.0,2,1157,4,,,,,,,,,
12,"{'1': 11, '2': 11, '3': 17, '4': 17, '5': 0, '6': 0, '7': 0}",12.0,2,1147,4,,,,,,,,,
13,"{'1': 15, '2': 14, '3': 11, '4': 16, '5': 0, '6': 0, '7': 0}",6.0,2,1151,4,,,,,,,,,
14,"{'1': 14, '2': 15, '3': 13, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
15,"{'1': 14, '2': 13, '3': 15, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
16,"{'1': 12, '2': 17, '3': 13, '4': 14, '5': 0, '6': 0, '7': 0}",6.0,2,1152,4,,,,,,,,,
17,"{'1': 13, '2': 15, '3': 14, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
18,"{'1': 14, '2': 13, '3': 15, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
19,"{'1': 15, '2': 15, '3': 12, '4': 14, '5': 0, '6': 0, '7': 0}",4.0,2,1155,4,,,,,,,,,
20,"{'1': 16, '2': 12, '3': 14, '4': 14, '5': 0, '6': 0, '7': 0}",4.0,2,1154,4,,,,,,,,,
21,"{'1': 13, '2': 14, '3': 12, '4': 17, '5': 0, '6': 0, '7': 0}",6.0,2,1152,4,,,,,,,,,
22,"{'1': 12, '2': 16, '3': 16, '4': 12, '5': 0, '6': 0, '7': 0}",8.0,2,1152,4,,,,,,,,,
23,"{'1': 16, '2': 11, '3': 16, '4': 13, '5': 0, '6': 0, '7': 0}",8.0,2,1150,4,,,,,,,,,
24,"{'1': 11, '2': 14, '3': 17, '4': 14, '5': 0, '6': 0, '7': 0}",6.0,2,1150,4,,,,,,,,,
25,"{'1': 14, '2': 13, '3': 17, '4': 12, '5': 0, '6': 0, '7': 0}",6.0,2,1152,4,,,,,,,,,
26,"{'1': 13, '2': 12, '3': 14, '4': 17, '5': 0, '6': 0, '7': 0}",6.0,2,1152,4,,,,,,,,,
27,"{'1': 14, '2': 13, '3': 15, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
28,"{'1': 13, '2': 15, '3': 14, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
29,"{'1': 17, '2': 12, '3': 10, '4': 17, '5': 0, '6': 0, '7': 0}",12.0,2,1145,4,,,,,,,,,
30,"{'1': 15, '2': 13, '3': 17, '4': 11, '5': 0, '6': 0, '7': 0}",8.0,2,1149,4,,,,,,,,,
31,"{'1': 13, '2': 14, '3': 15, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
32,"{'1': 14, '2': 15, '3': 12, '4': 15, '5': 0, '6': 0, '7': 0}",4.0,2,1155,4,,,,,,,,,
33,"{'1': 15, '2': 11, '3': 12, '4': 18, '5': 0, '6': 0, '7': 0}",10.0,2,1147,4,,,,,,,,,
34,"{'1': 12, '2': 17, '3': 17, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1145,4,,,,,,,,,
35,"{'1': 15, '2': 13, '3': 14, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
36,"{'1': 11, '2': 18, '3': 14, '4': 13, '5': 0, '6': 0, '7': 0}",8.0,2,1148,4,,,,,,,,,
37,"{'1': 13, '2': 17, '3': 14, '4': 12, '5': 0, '6': 0, '7': 0}",6.0,2,1152,4,,,,,,,,,
38,"{'1': 14, '2': 14, '3': 14, '4': 14, '5': 0, '6': 0, '7': 0}",0.0,2,1162,4,,,,,,,,,
39,"{'1': 19, '2': 14, '3': 12, '4': 11, '5': 0, '6': 0, '7': 0}",10.0,2,1146,4,,,,,,,,,
40,"{'1': 15, '2': 15, '3': 12, '4': 14, '5': 0, '6': 0, '7': 0}",4.0,2,1155,4,,,,,,,,,
41,"{'1': 16, '2': 16, '3': 11, '4': 13, '5': 0, '6': 0, '7': 0}",8.0,2,1150,4,,,,,,,,,
42,"{'1': 13, '2': 16, '3': 13, '4': 14, '5': 0, '6': 0, '7': 0}",4.0,2,1156,4,,,,,,,,,
43,"{'1': 15, '2': 17, '3': 13, '4': 11, '5': 0, '6': 0, '7': 0}",8.0,2,1149,4,,,,,,,,,
44,"{'1': 15, '2': 11, '3': 14, '4': 16, '5': 0, '6': 0, '7': 0}",6.0,2,1151,4,,,,,,,,,
45,"{'1': 9, '2': 16, '3': 14, '4': 17, '5': 0, '6': 0, '7': 0}",10.0,2,1144,4,,,,,,,,,
46,"{'1': 13, '2': 16, '3': 16, '4': 11, '5': 0, '6': 0, '7': 0}",8.0,2,1150,4,,,,,,,,,
47,"{'1': 14, '2': 17, '3': 11, '4': 14, '5': 0, '6': 0, '7': 0}",6.0,2,1150,4,,,,,,,,,
48,"{'1': 14, '2': 14, '3': 16, '4': 12, '5': 0, '6': 0, '7': 0}",4.0,2,1154,4,,,,,,,,,
49,"{'1': 17, '2': 15, '3': 13, '4': 11, '5': 0, '6': 0, '7': 0}",8.0,2,1149,4,,,,,,,,,
50,"{'1': 18, '2': 12, '3': 14, '4': 12, '5': 0, '6': 0, '7': 0}",8.0,2,1150,4,,,,,,,,,
51,"{'1': 11, '2': 18, '3': 15, '4': 12, '5': 0, '6': 0, '7': 0}",10.0,2,1147,4,,,,,,,,,
52,"{'1': 11, '2': 15, '3': 18, '4': 12, '5': 0, '6': 0, '7': 0}",10.0,2,1147,4,,,,,,,,,
53,"{'1': 16, '2': 17, '3': 13, '4': 10, '5': 0, '6': 0, '7': 0}",10.0,2,1146,4,,,,,,,,,
54,"{'1': 15, '2': 11, '3': 13, '4': 17, '5': 0, '6': 0, '7': 0}",8.0,2,1149,4,,,,,,,,,
55,"{'1': 14, '2': 15, '3': 14, '4': 13, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
56,"{'1': 14, '2': 16, '3': 13, '4': 13, '5': 0, '6': 0, '7': 0}",4.0,2,1156,4,,,,,,,,,
57,"{'1': 15, '2': 13, '3': 13, '4': 15, '5': 0, '6': 0, '7': 0}",4.0,2,1157,4,,,,,,,,,
58,"{'1': 15, '2': 14, '3': 14, '4': 13, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
59,"{'1': 13, '2': 14, '3': 15, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
60,"{'1': 13, '2': 14, '3': 15, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
61,"{'1': 13, '2': 13, '3': 15, '4': 15, '5': 0, '6': 0, '7': 0}",4.0,2,1157,4,,,,,,,,,
62,"{'1': 12, '2': 16, '3': 12, '4': 16, '5': 0, '6': 0, '7': 0}",8.0,2,1152,4,,,,,,,,,
63,"{'1': 16, '2': 12, '3': 13, '4': 15, '5': 0, '6': 0, '7': 0}",6.0,2,1153,4,,,,,,,,,
64,"{'1': 17, '2': 13, '3': 12, '4': 14, '5': 0, '6': 0, '7': 0}",6.0,2,1152,4,,,,,,,,,
65,"{'1': 12, '2': 12, '3': 20, '4': 12, '5': 0, '6': 0, '7': 0}",12.0,2,1148,4,,,,,,,,,
66,"{'1': 13, '2': 13, '3': 18, '4': 12, '5': 0, '6': 0, '7': 0}",8.0,2,1151,4,,,,,,,,,
67,"{'1': 13, '2': 14, '3': 14, '4': 15, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
68,"{'1': 18, '2': 13, '3': 16, '4': 9, '5': 0, '6': 0, '7': 0}",12.0,2,1142,4,,,,,,,,,
69,"{'1': 14, '2': 16, '3': 14, '4': 12, '5': 0, '6': 0, '7': 0}",4.0,2,1154,4,,,,,,,,,
70,"{'1': 15, '2': 16, '3': 14, '4': 11, '5': 0, '6': 0, '7': 0}",6.0,2,1151,4,,,,,,,,,
71,"{'1': 14, '2': 15, '3': 13, '4': 14, '5': 0, '6': 0, '7': 0}",2.0,2,1158,4,,,,,,,,,
72,"{'1': 15, '2': 12, '3': 16, '4': 13, '5': 0, '6': 0, '7': 0}",6.0,2,1153,4,,,,,,,,,
