Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 7, '2': 6, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
1,"{'1': 5, '2': 7, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
2,"{'1': 10, '2': 6, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",6.5,2,551,4,,,,,,,,,
3,"{'1': 6, '2': 6, '3': 8, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
4,"{'1': 6, '2': 8, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
5,"{'1': 7, '2': 6, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
6,"{'1': 8, '2': 6, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
7,"{'1': 7, '2': 9, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
8,"{'1': 6, '2': 7, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
9,"{'1': 10, '2': 5, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",7.0,2,550,4,,,,,,,,,
10,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
11,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
12,"{'1': 9, '2': 6, '3': 4, '4': 8, '5': 0, '6': 0, '7': 0}",7.0,2,549,4,,,,,,,,,
13,"{'1': 10, '2': 6, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",6.5,2,551,4,,,,,,,,,
14,"{'1': 8, '2': 6, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
15,"{'1': 7, '2': 5, '3': 9, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
16,"{'1': 7, '2': 8, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
17,"{'1': 10, '2': 7, '3': 5, '4': 5, '5': 0, '6': 0, '7': 0}",7.0,2,550,4,,,,,,,,,
18,"{'1': 8, '2': 7, '3': 8, '4': 4, '5': 0, '6': 0, '7': 0}",5.5,2,551,4,,,,,,,,,
19,"{'1': 7, '2': 4, '3': 8, '4': 8, '5': 0, '6': 0, '7': 0}",5.5,2,551,4,,,,,,,,,
20,"{'1': 7, '2': 7, '3': 4, '4': 9, '5': 0, '6': 0, '7': 0}",5.5,2,550,4,,,,,,,,,
21,"{'1': 9, '2': 5, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
22,"{'1': 6, '2': 6, '3': 8, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
23,"{'1': 6, '2': 8, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
24,"{'1': 7, '2': 6, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
25,"{'1': 8, '2': 6, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
26,"{'1': 7, '2': 5, '3': 6, '4': 9, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
27,"{'1': 8, '2': 6, '3': 8, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,553,4,,,,,,,,,
28,"{'1': 4, '2': 7, '3': 10, '4': 6, '5': 0, '6': 0, '7': 0}",7.0,2,548,4,,,,,,,,,
29,"{'1': 9, '2': 6, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
30,"{'1': 9, '2': 6, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
31,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
32,"{'1': 8, '2': 8, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,553,4,,,,,,,,,
33,"{'1': 7, '2': 6, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
34,"{'1': 8, '2': 6, '3': 9, '4': 4, '5': 0, '6': 0, '7': 0}",7.0,2,549,4,,,,,,,,,
35,"{'1': 7, '2': 6, '3': 5, '4': 9, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
36,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
37,"{'1': 7, '2': 6, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
38,"{'1': 8, '2': 7, '3': 4, '4': 8, '5': 0, '6': 0, '7': 0}",5.5,2,551,4,,,,,,,,,
39,"{'1': 6, '2': 7, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
40,"{'1': 8, '2': 7, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
41,"{'1': 7, '2': 6, '3': 6, '4': 8, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
42,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
43,"{'1': 7, '2': 6, '3': 9, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
44,"{'1': 7, '2': 8, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
45,"{'1': 7, '2': 8, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
46,"{'1': 5, '2': 7, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
47,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
48,"{'1': 10, '2': 5, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",6.5,2,551,4,,,,,,,,,
49,"{'1': 8, '2': 7, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
50,"{'1': 7, '2': 5, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
51,"{'1': 7, '2': 7, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
52,"{'1': 5, '2': 7, '3': 6, '4': 9, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
53,"{'1': 6, '2': 6, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
54,"{'1': 7, '2': 9, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
55,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
56,"{'1': 9, '2': 6, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
57,"{'1': 7, '2': 7, '3': 5, '4': 8, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
58,"{'1': 8, '2': 6, '3': 8, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,553,4,,,,,,,,,
59,"{'1': 7, '2': 8, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
60,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
61,"{'1': 8, '2': 6, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
62,"{'1': 10, '2': 5, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",7.0,2,550,4,,,,,,,,,
63,"{'1': 6, '2': 7, '3': 6, '4': 8, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
64,"{'1': 7, '2': 5, '3': 8, '4': 7, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
65,"{'1': 6, '2': 7, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
66,"{'1': 6, '2': 7, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
67,"{'1': 9, '2': 5, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
68,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
69,"{'1': 4, '2': 9, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",5.5,2,550,4,,,,,,,,,
70,"{'1': 10, '2': 7, '3': 4, '4': 6, '5': 0, '6': 0, '7': 0}",7.0,2,548,4,,,,,,,,,
71,"{'1': 7, '2': 7, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
72,"{'1': 5, '2': 8, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
73,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
74,"{'1': 8, '2': 7, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
75,"{'1': 7, '2': 8, '3': 8, '4': 4, '5': 0, '6': 0, '7': 0}",5.5,2,551,4,,,,,,,,,
76,"{'1': 6, '2': 9, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",4.5,2,555,4,,,,,,,,,
77,"{'1': 8, '2': 7, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
78,"{'1': 7, '2': 7, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
79,"{'1': 6, '2': 9, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
80,"{'1': 8, '2': 7, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
81,"{'1': 8, '2': 7, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
82,"{'1': 9, '2': 7, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
83,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
84,"{'1': 6, '2': 7, '3': 5, '4': 9, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
85,"{'1': 7, '2': 6, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
86,"{'1': 8, '2': 4, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",5.5,2,551,4,,,,,,,,,
87,"{'1': 7, '2': 6, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
88,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
89,"{'1': 7, '2': 7, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
90,"{'1': 8, '2': 5, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,553,4,,,,,,,,,
91,"{'1': 7, '2': 7, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
92,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
93,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
94,"{'1': 9, '2': 5, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
95,"{'1': 9, '2': 6, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",4.5,2,555,4,,,,,,,,,
96,"{'1': 9, '2': 5, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
97,"{'1': 6, '2': 6, '3': 9, '4': 6, '5': 0, '6': 0, '7': 0}",4.5,2,555,4,,,,,,,,,
98,"{'1': 8, '2': 5, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
99,"{'1': 7, '2': 6, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
100,"{'1': 7, '2': 7, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
101,"{'1': 8, '2': 7, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",3.5,2,554,4,,,,,,,,,
102,"{'1': 7, '2': 8, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
103,"{'1': 6, '2': 9, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",4.5,2,555,4,,,,,,,,,
104,"{'1': 8, '2': 8, '3': 4, '4': 7, '5': 0, '6': 0, '7': 0}",5.5,2,551,4,,,,,,,,,
105,"{'1': 7, '2': 7, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
106,"{'1': 8, '2': 10, '3': 6, '4': 3, '5': 0, '6': 0, '7': 0}",9.0,2,545,4,,,,,,,,,
107,"{'1': 6, '2': 6, '3': 8, '4': 7, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
108,"{'1': 8, '2': 8, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,553,4,,,,,,,,,
109,"{'1': 9, '2': 7, '3': 7, '4': 4, '5': 0, '6': 0, '7': 0}",5.5,2,550,4,,,,,,,,,
110,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
111,"{'1': 8, '2': 6, '3': 5, '4': 8, '5': 0, '6': 0, '7': 0}",5.0,2,553,4,,,,,,,,,
112,"{'1': 10, '2': 5, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",6.5,2,551,4,,,,,,,,,
113,"{'1': 7, '2': 6, '3': 7, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
114,"{'1': 7, '2': 7, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",1.5,2,558,4,,,,,,,,,
115,"{'1': 7, '2': 6, '3': 9, '4': 5, '5': 0, '6': 0, '7': 0}",5.0,2,552,4,,,,,,,,,
116,"{'1': 7, '2': 8, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
