Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 8, '2': 8, '3': 7, '4': 3, '5': 1, '6': 0, '7': 0}",13.6,2,564,5,,,,,,,,,
1,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",3.0,2,556,4,,,,,,,,,
2,"{'1': 9, '2': 7, '3': 6, '4': 3, '5': 2, '6': 0, '7': 0}",11.6,2,578,5,,,,,,,,,
3,"{'1': 8, '2': 7, '3': 8, '4': 2, '5': 2, '6': 0, '7': 0}",13.6,2,577,5,,,,,,,,,
4,"{'1': 10, '2': 6, '3': 4, '4': 3, '5': 4, '6': 0, '7': 0}",10.4,2,594,5,,,,,,,,,
5,"{'1': 9, '2': 7, '3': 6, '4': 3, '5': 2, '6': 0, '7': 0}",11.6,2,578,5,,,,,,,,,
6,"{'1': 7, '2': 8, '3': 8, '4': 3, '5': 1, '6': 0, '7': 0}",13.6,2,564,5,,,,,,,,,
7,"{'1': 9, '2': 8, '3': 4, '4': 6, '5': 0, '6': 0, '7': 0}",7.0,2,549,4,,,,,,,,,
8,"{'1': 9, '2': 8, '3': 6, '4': 3, '5': 1, '6': 0, '7': 0}",13.6,2,562,5,,,,,,,,,
9,"{'1': 9, '2': 10, '3': 5, '4': 2, '5': 1, '6': 0, '7': 0}",16.4,2,557,5,,,,,,,,,
10,"{'1': 11, '2': 5, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",8.5,2,549,4,,,,,,,,,
11,"{'1': 11, '2': 7, '3': 5, '4': 4, '5': 0, '6': 0, '7': 0}",9.0,2,546,4,,,,,,,,,
12,"{'1': 9, '2': 8, '3': 5, '4': 3, '5': 2, '6': 0, '7': 0}",12.4,2,577,5,,,,,,,,,
13,"{'1': 10, '2': 7, '3': 6, '4': 4, '5': 0, '6': 0, '7': 0}",7.0,2,548,4,,,,,,,,,
