Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 9, '2': 9, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,649,5,,,,,,,,,
1,"{'1': 9, '2': 8, '3': 8, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,650,5,,,,,,,,,
2,"{'1': 9, '2': 9, '3': 7, '4': 4, '5': 2, '6': 0, '7': 0}",18.3,2,662,5,,,,,,,,,
3,"{'1': 9, '2': 9, '3': 7, '4': 4, '5': 2, '6': 0, '7': 0}",18.3,2,662,5,,,,,,,,,
4,"{'1': 9, '2': 9, '3': 7, '4': 4, '5': 2, '6': 0, '7': 0}",18.3,2,662,5,,,,,,,,,
5,"{'1': 9, '2': 8, '3': 7, '4': 6, '5': 1, '6': 0, '7': 0}",32.7,2,652,5,,,,,,,,,
6,"{'1': 9, '2': 9, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,649,5,,,,,,,,,
7,"{'1': 9, '2': 8, '3': 7, '4': 4, '5': 3, '6': 0, '7': 0}",12.600000000000001,2,678,5,,,,,,,,,
8,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
9,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
10,"{'1': 9, '2': 9, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,649,5,,,,,,,,,
11,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
12,"{'1': 9, '2': 9, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,649,5,,,,,,,,,
13,"{'1': 9, '2': 8, '3': 7, '4': 5, '5': 2, '6': 0, '7': 0}",16.200000000000003,2,665,5,,,,,,,,,
14,"{'1': 9, '2': 9, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,649,5,,,,,,,,,
15,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
16,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
17,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
18,"{'1': 9, '2': 8, '3': 7, '4': 6, '5': 1, '6': 0, '7': 0}",32.7,2,652,5,,,,,,,,,
19,"{'1': 9, '2': 9, '3': 7, '4': 4, '5': 2, '6': 0, '7': 0}",18.3,2,662,5,,,,,,,,,
20,"{'1': 9, '2': 8, '3': 7, '4': 4, '5': 3, '6': 0, '7': 0}",12.600000000000001,2,678,5,,,,,,,,,
21,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
22,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
23,"{'1': 9, '2': 8, '3': 7, '4': 4, '5': 3, '6': 0, '7': 0}",12.600000000000001,2,678,5,,,,,,,,,
24,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
25,"{'1': 9, '2': 9, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,649,5,,,,,,,,,
26,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
27,"{'1': 9, '2': 8, '3': 7, '4': 4, '5': 3, '6': 0, '7': 0}",12.600000000000001,2,678,5,,,,,,,,,
28,"{'1': 9, '2': 9, '3': 6, '4': 4, '5': 3, '6': 0, '7': 0}",12.3,2,677,5,,,,,,,,,
29,"{'1': 9, '2': 9, '3': 7, '4': 5, '5': 1, '6': 0, '7': 0}",32.2,2,649,5,,,,,,,,,
