Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 11, '2': 9, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",13.6,2,630,4,,,,,,,,,
1,"{'1': 8, '2': 9, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",14.8,2,637,4,,,,,,,,,
2,"{'1': 9, '2': 11, '3': 4, '4': 7, '5': 0, '6': 0, '7': 0}",12.8,2,628,4,,,,,,,,,
3,"{'1': 9, '2': 8, '3': 6, '4': 8, '5': 0, '6': 0, '7': 0}",14.8,2,637,4,,,,,,,,,
4,"{'1': 10, '2': 7, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",14.599999999999998,2,635,4,,,,,,,,,
5,"{'1': 10, '2': 9, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",14.299999999999999,2,634,4,,,,,,,,,
6,"{'1': 9, '2': 10, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",14.299999999999999,2,634,4,,,,,,,,,
7,"{'1': 11, '2': 8, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",13.899999999999999,2,631,4,,,,,,,,,
8,"{'1': 10, '2': 9, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",14.299999999999999,2,634,4,,,,,,,,,
9,"{'1': 9, '2': 10, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",14.299999999999999,2,634,4,,,,,,,,,
10,"{'1': 10, '2': 8, '3': 8, '4': 5, '5': 0, '6': 0, '7': 0}",14.1,2,633,4,,,,,,,,,
11,"{'1': 12, '2': 7, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",13.599999999999998,2,630,4,,,,,,,,,
12,"{'1': 10, '2': 8, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",14.6,2,635,4,,,,,,,,,
13,"{'1': 11, '2': 8, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",14.1,2,633,4,,,,,,,,,
14,"{'1': 9, '2': 9, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",14.799999999999999,2,636,4,,,,,,,,,
,,,,,,628,637,633.4,12.8,14.8,14.193333333333332,0.0016443411509195964,99985,"{4: 15, 5: 0, 6: 0, 7: 0}"
