Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
0,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
1,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
2,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
3,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
4,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
5,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
6,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
7,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
8,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
9,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
10,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
11,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
12,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
13,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
14,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
15,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
16,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
17,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
18,"{'1': 10, '2': 7, '3': 5, '4': 2, '5': 3, '6': 0, '7': 0}",26.700000000000003,2,576,5,,,,
19,"{'1': 11, '2': 7, '3': 5, '4': 2, '5': 2, '6': 0, '7': 0}",31.4,2,572,5,,,,
,,,,,,572,0.03171086311340332,0,"{4: 0, 5: 20, 6: 0, 7: 0}"
