Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
0,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
1,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
2,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
3,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
4,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
5,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
6,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
7,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
8,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
9,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
,,,,,,544,0.12285828590393066,0,"{4: 10, 5: 0, 6: 0, 7: 0}"
