Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 4, '2': 4, '3': 3, '4': 4, '5': 4, '6': 5, '7': 3}",23.299999999999997,2,720,7,,,,,,,,,
1,"{'1': 4, '2': 2, '3': 4, '4': 4, '5': 5, '6': 2, '7': 6}",30.0,2,684,7,,,,,,,,,
2,"{'1': 5, '2': 4, '3': 2, '4': 5, '5': 4, '6': 5, '7': 2}",29.5,2,686,7,,,,,,,,,
3,"{'1': 4, '2': 5, '3': 5, '4': 3, '5': 3, '6': 5, '7': 2}",27.200000000000003,2,687,7,,,,,,,,,
4,"{'1': 3, '2': 3, '3': 5, '4': 4, '5': 3, '6': 6, '7': 3}",25.4,2,700,7,,,,,,,,,
5,"{'1': 7, '2': 2, '3': 4, '4': 3, '5': 3, '6': 5, '7': 3}",29.300000000000004,2,681,7,,,,,,,,,
6,"{'1': 3, '2': 7, '3': 5, '4': 4, '5': 3, '6': 3, '7': 2}",29.299999999999997,2,681,7,,,,,,,,,
7,"{'1': 4, '2': 5, '3': 2, '4': 1, '5': 4, '6': 4, '7': 7}",42.9,2,665,7,,,,,,,,,
8,"{'1': 1, '2': 5, '3': 5, '4': 3, '5': 6, '6': 3, '7': 4}",39.800000000000004,2,668,7,,,,,,,,,
9,"{'1': 5, '2': 4, '3': 1, '4': 6, '5': 2, '6': 6, '7': 3}",43.400000000000006,2,651,7,,,,,,,,,
,,,,,,651,720,682.3,23.299999999999997,43.400000000000006,32.010000000000005,0.0013883113861083984,0,"{4: 0, 5: 0, 6: 0, 7: 10}"
