Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
0,"{'1': 9, '2': 8, '3': 3, '4': 5, '5': 2, '6': 0, '7': 0}",26.9,2,577,5,,,,
1,"{'1': 9, '2': 9, '3': 6, '4': 3, '5': 0, '6': 0, '7': 0}",32.5,2,546,4,,,,
2,"{'1': 9, '2': 7, '3': 6, '4': 4, '5': 1, '6': 0, '7': 0}",38.6,2,565,5,,,,
3,"{'1': 9, '2': 9, '3': 5, '4': 4, '5': 0, '6': 0, '7': 0}",29.400000000000002,2,548,4,,,,
4,"{'1': 8, '2': 9, '3': 5, '4': 4, '5': 1, '6': 0, '7': 0}",38.2,2,564,5,,,,
5,"{'1': 11, '2': 6, '3': 6, '4': 2, '5': 1, '6': 1, '7': 0}",60.5,2,574,6,,,,
6,"{'1': 10, '2': 7, '3': 7, '4': 3, '5': 0, '6': 0, '7': 0}",32.5,2,546,4,,,,
7,"{'1': 9, '2': 7, '3': 7, '4': 3, '5': 1, '6': 0, '7': 0}",41.4,2,563,5,,,,
8,"{'1': 8, '2': 7, '3': 6, '4': 4, '5': 2, '6': 0, '7': 0}",24.700000000000003,2,582,5,,,,
9,"{'1': 7, '2': 9, '3': 7, '4': 4, '5': 0, '6': 0, '7': 0}",30.0,2,550,4,,,,
10,"{'1': 10, '2': 8, '3': 5, '4': 4, '5': 0, '6': 0, '7': 0}",29.3,2,547,4,,,,
11,"{'1': 10, '2': 8, '3': 4, '4': 5, '5': 0, '6': 0, '7': 0}",29.3,2,547,4,,,,
12,"{'1': 10, '2': 7, '3': 7, '4': 2, '5': 1, '6': 0, '7': 0}",46.2,2,559,5,,,,
13,"{'1': 10, '2': 8, '3': 4, '4': 3, '5': 2, '6': 0, '7': 0}",28.599999999999994,2,575,5,,,,
14,"{'1': 10, '2': 7, '3': 7, '4': 3, '5': 0, '6': 0, '7': 0}",32.5,2,546,4,,,,
15,"{'1': 10, '2': 8, '3': 4, '4': 2, '5': 2, '6': 1, '7': 0}",50.2,2,589,6,,,,
16,"{'1': 9, '2': 9, '3': 6, '4': 3, '5': 0, '6': 0, '7': 0}",32.5,2,546,4,,,,
17,"{'1': 9, '2': 8, '3': 5, '4': 4, '5': 1, '6': 0, '7': 0}",38.2,2,564,5,,,,
18,"{'1': 9, '2': 8, '3': 5, '4': 3, '5': 2, '6': 0, '7': 0}",26.9,2,577,5,,,,
19,"{'1': 11, '2': 6, '3': 7, '4': 3, '5': 0, '6': 0, '7': 0}",32.1,2,544,4,,,,
20,"{'1': 11, '2': 7, '3': 4, '4': 5, '5': 0, '6': 0, '7': 0}",29.0,2,546,4,,,,
21,"{'1': 11, '2': 7, '3': 6, '4': 3, '5': 0, '6': 0, '7': 0}",32.1,2,544,4,,,,
22,"{'1': 9, '2': 7, '3': 6, '4': 4, '5': 1, '6': 0, '7': 0}",38.6,2,565,5,,,,
23,"{'1': 10, '2': 7, '3': 3, '4': 5, '5': 1, '6': 1, '7': 0}",57.3,2,577,6,,,,
24,"{'1': 8, '2': 8, '3': 6, '4': 4, '5': 1, '6': 0, '7': 0}",38.7,2,566,5,,,,
25,"{'1': 10, '2': 7, '3': 5, '4': 5, '5': 0, '6': 0, '7': 0}",30.2,2,550,4,,,,
26,"{'1': 8, '2': 7, '3': 6, '4': 4, '5': 2, '6': 0, '7': 0}",24.700000000000003,2,582,5,,,,
27,"{'1': 11, '2': 6, '3': 7, '4': 2, '5': 1, '6': 0, '7': 0}",45.8,2,557,5,,,,
28,"{'1': 9, '2': 7, '3': 6, '4': 4, '5': 1, '6': 0, '7': 0}",38.6,2,565,5,,,,
29,"{'1': 9, '2': 9, '3': 5, '4': 3, '5': 1, '6': 0, '7': 0}",40.8,2,561,5,,,,
30,"{'1': 10, '2': 6, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",30.5,2,551,4,,,,
31,"{'1': 8, '2': 8, '3': 6, '4': 4, '5': 1, '6': 0, '7': 0}",38.7,2,566,5,,,,
32,"{'1': 10, '2': 9, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",31.900000000000002,2,544,4,,,,
33,"{'1': 9, '2': 6, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",30.8,2,552,4,,,,
