Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 6, '2': 3, '3': 3, '4': 2, '5': 5, '6': 5, '7': 3}",28.5,2,683,7,,,,,,,,,
1,"{'1': 4, '2': 4, '3': 5, '4': 3, '5': 4, '6': 4, '7': 3}",23.299999999999997,2,720,7,,,,,,,,,
2,"{'1': 5, '2': 3, '3': 1, '4': 4, '5': 4, '6': 5, '7': 5}",38.5,2,685,7,,,,,,,,,
3,"{'1': 5, '2': 2, '3': 5, '4': 5, '5': 4, '6': 4, '7': 2}",29.5,2,686,7,,,,,,,,,
4,"{'1': 4, '2': 3, '3': 3, '4': 4, '5': 6, '6': 4, '7': 3}",24.6,2,703,7,,,,,,,,,
5,"{'1': 5, '2': 4, '3': 3, '4': 6, '5': 4, '6': 2, '7': 3}",27.700000000000003,2,685,7,,,,,,,,,
6,"{'1': 3, '2': 2, '3': 4, '4': 2, '5': 5, '6': 6, '7': 5}",30.799999999999997,2,669,7,,,,,,,,,
7,"{'1': 5, '2': 5, '3': 3, '4': 3, '5': 4, '6': 6, '7': 1}",39.800000000000004,2,668,7,,,,,,,,,
8,"{'1': 3, '2': 6, '3': 3, '4': 3, '5': 5, '6': 4, '7': 3}",25.4,2,700,7,,,,,,,,,
9,"{'1': 3, '2': 3, '3': 5, '4': 4, '5': 5, '6': 3, '7': 4}",24.1,2,704,7,,,,,,,,,
,,,,,,668,720,690.3,23.299999999999997,39.800000000000004,29.220000000000006,0.0013878345489501953,0,"{4: 0, 5: 0, 6: 0, 7: 10}"
