Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 3, '2': 3, '3': 4, '4': 5, '5': 5, '6': 2, '7': 5}",27.200000000000003,2,687,7,,,,,,,,,
1,"{'1': 5, '2': 2, '3': 2, '4': 4, '5': 4, '6': 3, '7': 7}",31.599999999999994,2,667,7,,,,,,,,,
2,"{'1': 4, '2': 3, '3': 3, '4': 3, '5': 5, '6': 5, '7': 4}",24.099999999999998,2,704,7,,,,,,,,,
3,"{'1': 4, '2': 2, '3': 2, '4': 5, '5': 5, '6': 3, '7': 6}",30.800000000000004,2,669,7,,,,,,,,,
4,"{'1': 4, '2': 3, '3': 4, '4': 5, '5': 5, '6': 4, '7': 2}",26.4,2,702,7,,,,,,,,,
5,"{'1': 2, '2': 4, '3': 5, '4': 5, '5': 2, '6': 5, '7': 4}",29.5,2,686,7,,,,,,,,,
6,"{'1': 5, '2': 2, '3': 4, '4': 5, '5': 4, '6': 3, '7': 4}",26.4,2,702,7,,,,,,,,,
7,"{'1': 4, '2': 4, '3': 4, '4': 3, '5': 2, '6': 6, '7': 4}",26.9,2,701,7,,,,,,,,,
8,"{'1': 4, '2': 6, '3': 3, '4': 6, '5': 3, '6': 2, '7': 3}",29.0,2,682,7,,,,,,,,,
9,"{'1': 5, '2': 4, '3': 5, '4': 5, '5': 3, '6': 3, '7': 2}",27.200000000000003,2,687,7,,,,,,,,,
10,"{'1': 3, '2': 3, '3': 5, '4': 4, '5': 4, '6': 5, '7': 3}",24.1,2,704,7,,,,,,,,,
11,"{'1': 4, '2': 4, '3': 3, '4': 4, '5': 5, '6': 4, '7': 3}",23.299999999999997,2,720,7,,,,,,,,,
12,"{'1': 1, '2': 6, '3': 2, '4': 2, '5': 7, '6': 4, '7': 5}",47.300000000000004,2,634,7,,,,,,,,,
13,"{'1': 2, '2': 5, '3': 4, '4': 5, '5': 3, '6': 6, '7': 2}",30.800000000000004,2,669,7,,,,,,,,,
14,"{'1': 4, '2': 5, '3': 4, '4': 4, '5': 4, '6': 2, '7': 4}",25.6,2,719,7,,,,,,,,,
15,"{'1': 5, '2': 3, '3': 3, '4': 4, '5': 5, '6': 3, '7': 4}",24.1,2,704,7,,,,,,,,,
16,"{'1': 5, '2': 3, '3': 6, '4': 2, '5': 6, '6': 2, '7': 3}",32.1,2,666,7,,,,,,,,,
17,"{'1': 1, '2': 4, '3': 3, '4': 3, '5': 6, '6': 5, '7': 5}",39.800000000000004,2,668,7,,,,,,,,,
18,"{'1': 5, '2': 4, '3': 2, '4': 6, '5': 3, '6': 2, '7': 5}",30.799999999999997,2,669,7,,,,,,,,,
19,"{'1': 5, '2': 4, '3': 3, '4': 2, '5': 4, '6': 4, '7': 5}",26.4,2,702,7,,,,,,,,,
20,"{'1': 3, '2': 4, '3': 4, '4': 3, '5': 5, '6': 5, '7': 3}",24.1,2,704,7,,,,,,,,,
21,"{'1': 3, '2': 4, '3': 4, '4': 4, '5': 2, '6': 5, '7': 5}",26.4,2,702,7,,,,,,,,,
22,"{'1': 4, '2': 4, '3': 4, '4': 3, '5': 4, '6': 3, '7': 5}",23.299999999999997,2,720,7,,,,,,,,,
23,"{'1': 5, '2': 6, '3': 5, '4': 5, '5': 3, '6': 1, '7': 2}",42.900000000000006,2,654,7,,,,,,,,,
24,"{'1': 3, '2': 7, '3': 3, '4': 3, '5': 2, '6': 4, '7': 5}",29.299999999999997,2,681,7,,,,,,,,,
25,"{'1': 5, '2': 3, '3': 3, '4': 3, '5': 3, '6': 7, '7': 3}",27.0,2,698,7,,,,,,,,,
26,"{'1': 3, '2': 3, '3': 3, '4': 5, '5': 7, '6': 3, '7': 3}",27.0,2,698,7,,,,,,,,,
27,"{'1': 3, '2': 5, '3': 7, '4': 5, '5': 5, '6': 0, '7': 2}",16.8,2,635,7,,,,,,,,,
28,"{'1': 5, '2': 1, '3': 3, '4': 5, '5': 4, '6': 6, '7': 3}",39.800000000000004,2,668,7,,,,,,,,,
29,"{'1': 6, '2': 5, '3': 4, '4': 3, '5': 2, '6': 5, '7': 2}",30.799999999999997,2,669,7,,,,,,,,,
30,"{'1': 4, '2': 5, '3': 5, '4': 3, '5': 5, '6': 4, '7': 1}",38.5,2,685,7,,,,,,,,,
31,"{'1': 5, '2': 3, '3': 6, '4': 2, '5': 4, '6': 4, '7': 3}",27.699999999999996,2,685,7,,,,,,,,,
32,"{'1': 2, '2': 2, '3': 5, '4': 4, '5': 4, '6': 3, '7': 7}",31.599999999999994,2,667,7,,,,,,,,,
33,"{'1': 4, '2': 3, '3': 1, '4': 7, '5': 3, '6': 5, '7': 4}",40.6,2,666,7,,,,,,,,,
34,"{'1': 5, '2': 1, '3': 5, '4': 3, '5': 3, '6': 5, '7': 5}",39.300000000000004,2,672,7,,,,,,,,,
35,"{'1': 5, '2': 3, '3': 4, '4': 6, '5': 3, '6': 3, '7': 3}",25.4,2,700,7,,,,,,,,,
36,"{'1': 4, '2': 6, '3': 3, '4': 2, '5': 3, '6': 4, '7': 5}",27.699999999999996,2,685,7,,,,,,,,,
37,"{'1': 1, '2': 6, '3': 4, '4': 3, '5': 5, '6': 4, '7': 4}",39.0,2,683,7,,,,,,,,,
38,"{'1': 6, '2': 5, '3': 3, '4': 4, '5': 2, '6': 3, '7': 4}",27.699999999999996,2,685,7,,,,,,,,,
39,"{'1': 3, '2': 3, '3': 2, '4': 4, '5': 5, '6': 6, '7': 4}",27.699999999999996,2,685,7,,,,,,,,,
40,"{'1': 3, '2': 4, '3': 4, '4': 5, '5': 1, '6': 7, '7': 3}",40.6,2,666,7,,,,,,,,,
41,"{'1': 4, '2': 5, '3': 4, '4': 1, '5': 4, '6': 4, '7': 5}",37.7,2,701,7,,,,,,,,,
42,"{'1': 3, '2': 3, '3': 4, '4': 4, '5': 6, '6': 2, '7': 5}",27.700000000000003,2,685,7,,,,,,,,,
43,"{'1': 5, '2': 5, '3': 2, '4': 3, '5': 3, '6': 3, '7': 6}",28.500000000000007,2,683,7,,,,,,,,,
44,"{'1': 3, '2': 5, '3': 4, '4': 4, '5': 3, '6': 4, '7': 4}",23.299999999999997,2,720,7,,,,,,,,,
45,"{'1': 3, '2': 5, '3': 2, '4': 4, '5': 2, '6': 5, '7': 6}",30.799999999999997,2,669,7,,,,,,,,,
