Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
0,"{'1': 5, '2': 2, '3': 5, '4': 2, '5': 4, '6': 4, '7': 5}",29.499999999999996,2,686,7,,,,
1,"{'1': 4, '2': 4, '3': 7, '4': 5, '5': 3, '6': 2, '7': 2}",31.6,2,667,7,,,,
2,"{'1': 3, '2': 3, '3': 5, '4': 4, '5': 5, '6': 3, '7': 4}",24.1,2,704,7,,,,
3,"{'1': 5, '2': 4, '3': 3, '4': 4, '5': 3, '6': 3, '7': 5}",24.1,2,704,7,,,,
4,"{'1': 3, '2': 6, '3': 4, '4': 4, '5': 3, '6': 4, '7': 3}",24.6,2,703,7,,,,
5,"{'1': 6, '2': 3, '3': 5, '4': 3, '5': 5, '6': 4, '7': 1}",39.8,2,668,7,,,,
6,"{'1': 3, '2': 6, '3': 2, '4': 5, '5': 4, '6': 4, '7': 3}",27.699999999999996,2,685,7,,,,
7,"{'1': 3, '2': 4, '3': 6, '4': 3, '5': 4, '6': 2, '7': 5}",27.699999999999996,2,685,7,,,,
8,"{'1': 3, '2': 3, '3': 5, '4': 5, '5': 6, '6': 3, '7': 2}",28.5,2,683,7,,,,
9,"{'1': 3, '2': 4, '3': 4, '4': 3, '5': 3, '6': 5, '7': 5}",24.1,2,704,7,,,,
10,"{'1': 2, '2': 6, '3': 3, '4': 3, '5': 5, '6': 4, '7': 4}",27.699999999999996,2,685,7,,,,
11,"{'1': 3, '2': 6, '3': 4, '4': 6, '5': 4, '6': 1, '7': 3}",40.300000000000004,2,667,7,,,,
12,"{'1': 5, '2': 7, '3': 2, '4': 1, '5': 4, '6': 3, '7': 5}",43.7,2,650,7,,,,
13,"{'1': 5, '2': 3, '3': 4, '4': 1, '5': 5, '6': 3, '7': 6}",39.800000000000004,2,668,7,,,,
14,"{'1': 5, '2': 4, '3': 3, '4': 4, '5': 1, '6': 4, '7': 6}",39.0,2,683,7,,,,
15,"{'1': 3, '2': 4, '3': 4, '4': 4, '5': 4, '6': 5, '7': 3}",23.299999999999997,2,720,7,,,,
16,"{'1': 5, '2': 5, '3': 5, '4': 3, '5': 4, '6': 2, '7': 3}",27.200000000000003,2,687,7,,,,
17,"{'1': 3, '2': 4, '3': 3, '4': 4, '5': 2, '6': 4, '7': 7}",28.5,2,684,7,,,,
18,"{'1': 6, '2': 2, '3': 5, '4': 5, '5': 2, '6': 4, '7': 3}",30.799999999999997,2,669,7,,,,
19,"{'1': 3, '2': 6, '3': 4, '4': 3, '5': 5, '6': 3, '7': 3}",25.4,2,700,7,,,,
20,"{'1': 4, '2': 4, '3': 4, '4': 5, '5': 3, '6': 2, '7': 5}",26.4,2,702,7,,,,
21,"{'1': 5, '2': 3, '3': 4, '4': 5, '5': 4, '6': 3, '7': 3}",24.1,2,704,7,,,,
22,"{'1': 4, '2': 5, '3': 1, '4': 6, '5': 2, '6': 6, '7': 3}",43.400000000000006,2,651,7,,,,
23,"{'1': 5, '2': 3, '3': 5, '4': 4, '5': 4, '6': 4, '7': 2}",26.4,2,702,7,,,,
24,"{'1': 6, '2': 4, '3': 3, '4': 3, '5': 5, '6': 4, '7': 2}",27.699999999999996,2,685,7,,,,
25,"{'1': 2, '2': 3, '3': 7, '4': 5, '5': 2, '6': 4, '7': 4}",31.599999999999994,2,667,7,,,,
26,"{'1': 2, '2': 3, '3': 5, '4': 5, '5': 2, '6': 4, '7': 6}",30.799999999999997,2,669,7,,,,
27,"{'1': 3, '2': 4, '3': 4, '4': 3, '5': 4, '6': 3, '7': 6}",24.6,2,703,7,,,,
28,"{'1': 6, '2': 2, '3': 6, '4': 3, '5': 4, '6': 5, '7': 1}",43.4,2,651,7,,,,
29,"{'1': 5, '2': 2, '3': 4, '4': 4, '5': 2, '6': 4, '7': 6}",30.0,2,684,7,,,,
30,"{'1': 2, '2': 5, '3': 4, '4': 5, '5': 4, '6': 2, '7': 5}",29.5,2,686,7,,,,
31,"{'1': 3, '2': 4, '3': 3, '4': 5, '5': 5, '6': 3, '7': 4}",24.1,2,704,7,,,,
32,"{'1': 4, '2': 4, '3': 6, '4': 3, '5': 4, '6': 3, '7': 3}",24.6,2,703,7,,,,
33,"{'1': 6, '2': 3, '3': 2, '4': 2, '5': 5, '6': 5, '7': 4}",30.799999999999997,2,669,7,,,,
34,"{'1': 5, '2': 3, '3': 3, '4': 3, '5': 4, '6': 4, '7': 5}",24.099999999999994,2,704,7,,,,
35,"{'1': 4, '2': 2, '3': 5, '4': 4, '5': 6, '6': 2, '7': 4}",30.0,2,684,7,,,,
36,"{'1': 4, '2': 4, '3': 2, '4': 6, '5': 2, '6': 5, '7': 4}",29.999999999999996,2,684,7,,,,
37,"{'1': 3, '2': 3, '3': 3, '4': 5, '5': 3, '6': 6, '7': 4}",25.4,2,700,7,,,,
38,"{'1': 2, '2': 4, '3': 3, '4': 3, '5': 6, '6': 4, '7': 5}",27.700000000000003,2,685,7,,,,
39,"{'1': 5, '2': 4, '3': 5, '4': 4, '5': 2, '6': 4, '7': 3}",26.4,2,702,7,,,,
40,"{'1': 5, '2': 3, '3': 3, '4': 4, '5': 4, '6': 4, '7': 4}",23.299999999999997,2,720,7,,,,
41,"{'1': 3, '2': 5, '3': 4, '4': 3, '5': 4, '6': 5, '7': 3}",24.1,2,704,7,,,,
42,"{'1': 4, '2': 4, '3': 6, '4': 4, '5': 2, '6': 3, '7': 4}",26.9,2,701,7,,,,
43,"{'1': 2, '2': 5, '3': 4, '4': 3, '5': 6, '6': 3, '7': 4}",27.700000000000003,2,685,7,,,,
44,"{'1': 2, '2': 6, '3': 5, '4': 5, '5': 2, '6': 3, '7': 4}",30.799999999999997,2,669,7,,,,
45,"{'1': 3, '2': 5, '3': 3, '4': 4, '5': 5, '6': 4, '7': 3}",24.1,2,704,7,,,,
46,"{'1': 3, '2': 2, '3': 5, '4': 4, '5': 3, '6': 4, '7': 6}",27.699999999999996,2,685,7,,,,
47,"{'1': 5, '2': 2, '3': 4, '4': 4, '5': 4, '6': 4, '7': 4}",25.599999999999994,2,719,7,,,,
48,"{'1': 2, '2': 4, '3': 7, '4': 3, '5': 2, '6': 3, '7': 6}",32.900000000000006,2,664,7,,,,
49,"{'1': 3, '2': 4, '3': 5, '4': 4, '5': 4, '6': 4, '7': 3}",23.299999999999997,2,720,7,,,,
