Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 22, '2': 21, '3': 22, '4': 18, '5': 0, '6': 0, '7': 0}",42.4,2,1713,4,,,,,,,,,
1,"{'1': 23, '2': 20, '3': 18, '4': 22, '5': 0, '6': 0, '7': 0}",42.3,2,1711,4,,,,,,,,,
2,"{'1': 21, '2': 19, '3': 22, '4': 21, '5': 0, '6': 0, '7': 0}",42.4,2,1716,4,,,,,,,,,
3,"{'1': 18, '2': 21, '3': 19, '4': 25, '5': 0, '6': 0, '7': 0}",42.3,2,1708,4,,,,,,,,,
4,"{'1': 19, '2': 21, '3': 21, '4': 22, '5': 0, '6': 0, '7': 0}",42.4,2,1716,4,,,,,,,,,
5,"{'1': 20, '2': 21, '3': 22, '4': 20, '5': 0, '6': 0, '7': 0}",42.3,2,1718,4,,,,,,,,,
6,"{'1': 20, '2': 21, '3': 23, '4': 19, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,,,,,,
7,"{'1': 23, '2': 23, '3': 22, '4': 15, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1704,4,,,,,,,,,
8,"{'1': 23, '2': 22, '3': 20, '4': 18, '5': 0, '6': 0, '7': 0}",42.3,2,1711,4,,,,,,,,,
9,"{'1': 21, '2': 21, '3': 23, '4': 18, '5': 0, '6': 0, '7': 0}",42.3,2,1712,4,,,,,,,,,
10,"{'1': 20, '2': 22, '3': 18, '4': 23, '5': 0, '6': 0, '7': 0}",42.3,2,1711,4,,,,,,,,,
11,"{'1': 25, '2': 20, '3': 23, '4': 15, '5': 0, '6': 0, '7': 0}",42.099999999999994,2,1700,4,,,,,,,,,
12,"{'1': 24, '2': 23, '3': 21, '4': 15, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1702,4,,,,,,,,,
13,"{'1': 21, '2': 21, '3': 21, '4': 20, '5': 0, '6': 0, '7': 0}",42.3,2,1720,4,,,,,,,,,
14,"{'1': 23, '2': 21, '3': 23, '4': 16, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1706,4,,,,,,,,,
15,"{'1': 20, '2': 20, '3': 18, '4': 25, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1709,4,,,,,,,,,
16,"{'1': 20, '2': 21, '3': 23, '4': 19, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,,,,,,
17,"{'1': 18, '2': 20, '3': 22, '4': 23, '5': 0, '6': 0, '7': 0}",42.3,2,1711,4,,,,,,,,,
18,"{'1': 21, '2': 20, '3': 23, '4': 19, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,,,,,,
19,"{'1': 22, '2': 20, '3': 18, '4': 23, '5': 0, '6': 0, '7': 0}",42.3,2,1711,4,,,,,,,,,
20,"{'1': 23, '2': 21, '3': 20, '4': 19, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,,,,,,
21,"{'1': 23, '2': 24, '3': 17, '4': 19, '5': 0, '6': 0, '7': 0}",42.3,2,1706,4,,,,,,,,,
22,"{'1': 20, '2': 24, '3': 22, '4': 17, '5': 0, '6': 0, '7': 0}",42.3,2,1707,4,,,,,,,,,
23,"{'1': 20, '2': 23, '3': 21, '4': 19, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,,,,,,
24,"{'1': 25, '2': 21, '3': 17, '4': 20, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1706,4,,,,,,,,,
25,"{'1': 23, '2': 19, '3': 18, '4': 23, '5': 0, '6': 0, '7': 0}",42.3,2,1710,4,,,,,,,,,
26,"{'1': 22, '2': 21, '3': 20, '4': 20, '5': 0, '6': 0, '7': 0}",42.3,2,1718,4,,,,,,,,,
27,"{'1': 22, '2': 22, '3': 21, '4': 18, '5': 0, '6': 0, '7': 0}",42.4,2,1713,4,,,,,,,,,
28,"{'1': 25, '2': 21, '3': 21, '4': 16, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1704,4,,,,,,,,,
29,"{'1': 16, '2': 22, '3': 21, '4': 24, '5': 0, '6': 0, '7': 0}",42.3,2,1705,4,,,,,,,,,
30,"{'1': 22, '2': 19, '3': 24, '4': 18, '5': 0, '6': 0, '7': 0}",42.4,2,1709,4,,,,,,,,,
31,"{'1': 23, '2': 20, '3': 19, '4': 21, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,,,,,,
32,"{'1': 21, '2': 22, '3': 22, '4': 18, '5': 0, '6': 0, '7': 0}",42.4,2,1713,4,,,,,,,,,
33,"{'1': 24, '2': 17, '3': 20, '4': 22, '5': 0, '6': 0, '7': 0}",42.3,2,1707,4,,,,,,,,,
34,"{'1': 25, '2': 18, '3': 19, '4': 21, '5': 0, '6': 0, '7': 0}",42.3,2,1708,4,,,,,,,,,
35,"{'1': 21, '2': 22, '3': 16, '4': 24, '5': 0, '6': 0, '7': 0}",42.3,2,1705,4,,,,,,,,,
36,"{'1': 27, '2': 22, '3': 17, '4': 17, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1701,4,,,,,,,,,
37,"{'1': 22, '2': 22, '3': 17, '4': 22, '5': 0, '6': 0, '7': 0}",42.4,2,1711,4,,,,,,,,,
38,"{'1': 22, '2': 18, '3': 21, '4': 22, '5': 0, '6': 0, '7': 0}",42.4,2,1713,4,,,,,,,,,
39,"{'1': 23, '2': 21, '3': 18, '4': 21, '5': 0, '6': 0, '7': 0}",42.3,2,1712,4,,,,,,,,,
40,"{'1': 21, '2': 22, '3': 22, '4': 18, '5': 0, '6': 0, '7': 0}",42.4,2,1713,4,,,,,,,,,
41,"{'1': 21, '2': 23, '3': 22, '4': 17, '5': 0, '6': 0, '7': 0}",42.3,2,1709,4,,,,,,,,,
42,"{'1': 22, '2': 20, '3': 20, '4': 21, '5': 0, '6': 0, '7': 0}",42.3,2,1718,4,,,,,,,,,
43,"{'1': 21, '2': 24, '3': 20, '4': 18, '5': 0, '6': 0, '7': 0}",42.3,2,1710,4,,,,,,,,,
,,,,,,1700,1720,1710.4772727272727,42.099999999999994,42.4,42.3,0.011493601582267067,999956,"{4: 44, 5: 0, 6: 0, 7: 0}"
