Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 16, '2': 18, '3': 11, '4': 11, '5': 12, '6': 8, '7': 7}",9.6,2,2125,7,,,,,,,,,
1,"{'1': 16, '2': 16, '3': 8, '4': 13, '5': 12, '6': 11, '7': 7}",9.8,2,2131,7,,,,,,,,,
2,"{'1': 15, '2': 14, '3': 9, '4': 10, '5': 13, '6': 13, '7': 9}",10.7,2,2172,7,,,,,,,,,
3,"{'1': 16, '2': 15, '3': 12, '4': 10, '5': 7, '6': 9, '7': 14}",10.1,2,2133,7,,,,,,,,,
4,"{'1': 17, '2': 12, '3': 15, '4': 12, '5': 10, '6': 9, '7': 8}",10.399999999999999,2,2148,7,,,,,,,,,
5,"{'1': 19, '2': 14, '3': 13, '4': 10, '5': 9, '6': 9, '7': 9}",10.200000000000001,2,2143,7,,,,,,,,,
6,"{'1': 19, '2': 10, '3': 7, '4': 13, '5': 11, '6': 9, '7': 14}",9.8,2,2126,7,,,,,,,,,
7,"{'1': 17, '2': 15, '3': 10, '4': 10, '5': 12, '6': 10, '7': 9}",10.599999999999998,2,2177,7,,,,,,,,,
8,"{'1': 18, '2': 13, '3': 12, '4': 11, '5': 8, '6': 8, '7': 13}",10.099999999999998,2,2147,7,,,,,,,,,
9,"{'1': 22, '2': 14, '3': 8, '4': 12, '5': 11, '6': 12, '7': 4}",12.9,2,2070,7,,,,,,,,,
10,"{'1': 20, '2': 14, '3': 13, '4': 10, '5': 6, '6': 12, '7': 8}",10.299999999999999,2,2093,7,,,,,,,,,
11,"{'1': 22, '2': 13, '3': 11, '4': 7, '5': 13, '6': 8, '7': 9}",9.1,2,2090,7,,,,,,,,,
12,"{'1': 16, '2': 12, '3': 13, '4': 10, '5': 12, '6': 11, '7': 9}",10.899999999999999,2,2200,7,,,,,,,,,
13,"{'1': 18, '2': 14, '3': 12, '4': 10, '5': 12, '6': 8, '7': 9}",10.399999999999999,2,2147,7,,,,,,,,,
14,"{'1': 17, '2': 17, '3': 10, '4': 10, '5': 8, '6': 10, '7': 11}",10.099999999999998,2,2158,7,,,,,,,,,
15,"{'1': 20, '2': 15, '3': 8, '4': 10, '5': 15, '6': 6, '7': 9}",9.899999999999999,2,2073,7,,,,,,,,,
16,"{'1': 15, '2': 16, '3': 13, '4': 9, '5': 6, '6': 11, '7': 13}",10.8,2,2133,7,,,,,,,,,
17,"{'1': 19, '2': 13, '3': 14, '4': 10, '5': 9, '6': 9, '7': 9}",10.200000000000001,2,2143,7,,,,,,,,,
18,"{'1': 20, '2': 18, '3': 8, '4': 8, '5': 11, '6': 11, '7': 7}",8.700000000000001,2,2074,7,,,,,,,,,
19,"{'1': 19, '2': 18, '3': 5, '4': 11, '5': 10, '6': 9, '7': 11}",11.3,2,2088,7,,,,,,,,,
20,"{'1': 20, '2': 15, '3': 9, '4': 10, '5': 10, '6': 8, '7': 11}",9.799999999999999,2,2138,7,,,,,,,,,
21,"{'1': 20, '2': 20, '3': 11, '4': 8, '5': 8, '6': 8, '7': 8}",8.4,2,2083,7,,,,,,,,,
22,"{'1': 14, '2': 17, '3': 7, '4': 9, '5': 11, '6': 11, '7': 14}",10.0,2,2145,7,,,,,,,,,
23,"{'1': 18, '2': 14, '3': 11, '4': 9, '5': 9, '6': 10, '7': 12}",10.5,2,2162,7,,,,,,,,,
24,"{'1': 18, '2': 16, '3': 7, '4': 13, '5': 14, '6': 10, '7': 5}",11.099999999999998,2,2064,7,,,,,,,,,
