Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 23, '2': 19, '3': 15, '4': 11, '5': 8, '6': 3, '7': 4}",42.85714285714286,2,1935,7,,,,,,,,,
1,"{'1': 26, '2': 20, '3': 14, '4': 13, '5': 5, '6': 3, '7': 2}",51.14285714285715,2,1854,7,,,,,,,,,
2,"{'1': 28, '2': 19, '3': 13, '4': 11, '5': 6, '6': 5, '7': 1}",48.85714285714286,2,1877,7,,,,,,,,,
3,"{'1': 25, '2': 20, '3': 14, '4': 6, '5': 8, '6': 5, '7': 5}",46.85714285714286,2,1944,7,,,,,,,,,
4,"{'1': 23, '2': 19, '3': 14, '4': 7, '5': 4, '6': 7, '7': 9}",40.85714285714286,2,1981,7,,,,,,,,,
5,"{'1': 25, '2': 16, '3': 13, '4': 10, '5': 8, '6': 6, '7': 5}",36.85714285714286,2,1998,7,,,,,,,,,
6,"{'1': 25, '2': 20, '3': 15, '4': 11, '5': 7, '6': 4, '7': 1}",48.85714285714286,2,1881,7,,,,,,,,,
7,"{'1': 23, '2': 19, '3': 14, '4': 13, '5': 7, '6': 3, '7': 4}",43.14285714285714,2,1924,7,,,,,,,,,
8,"{'1': 25, '2': 18, '3': 17, '4': 8, '5': 8, '6': 2, '7': 5}",48.85714285714286,2,1925,7,,,,,,,,,
9,"{'1': 27, '2': 17, '3': 16, '4': 12, '5': 6, '6': 4, '7': 1}",49.14285714285714,2,1867,7,,,,,,,,,
10,"{'1': 27, '2': 17, '3': 14, '4': 14, '5': 4, '6': 2, '7': 5}",49.14285714285715,2,1873,7,,,,,,,,,
11,"{'1': 25, '2': 21, '3': 11, '4': 13, '5': 8, '6': 2, '7': 3}",46.85714285714286,2,1896,7,,,,,,,,,
12,"{'1': 26, '2': 17, '3': 16, '4': 8, '5': 7, '6': 5, '7': 4}",46.85714285714286,2,1943,7,,,,,,,,,
13,"{'1': 25, '2': 19, '3': 14, '4': 11, '5': 8, '6': 2, '7': 4}",44.85714285714286,2,1914,7,,,,,,,,,
14,"{'1': 23, '2': 18, '3': 16, '4': 14, '5': 6, '6': 3, '7': 3}",47.14285714285714,2,1896,7,,,,,,,,,
15,"{'1': 23, '2': 21, '3': 14, '4': 11, '5': 6, '6': 7, '7': 1}",44.85714285714286,2,1916,7,,,,,,,,,
16,"{'1': 24, '2': 21, '3': 15, '4': 6, '5': 8, '6': 5, '7': 4}",48.85714285714286,2,1928,7,,,,,,,,,
17,"{'1': 26, '2': 17, '3': 15, '4': 9, '5': 8, '6': 6, '7': 2}",44.85714285714286,2,1942,7,,,,,,,,,
18,"{'1': 22, '2': 18, '3': 15, '4': 11, '5': 7, '6': 6, '7': 4}",38.85714285714286,2,1972,7,,,,,,,,,
19,"{'1': 25, '2': 19, '3': 12, '4': 14, '5': 7, '6': 4, '7': 2}",45.14285714285714,2,1901,7,,,,,,,,,
20,"{'1': 26, '2': 18, '3': 14, '4': 13, '5': 5, '6': 5, '7': 2}",47.14285714285714,2,1888,7,,,,,,,,,
21,"{'1': 26, '2': 20, '3': 15, '4': 11, '5': 3, '6': 4, '7': 4}",50.85714285714286,2,1868,7,,,,,,,,,
22,"{'1': 22, '2': 19, '3': 15, '4': 11, '5': 8, '6': 6, '7': 2}",40.85714285714286,2,1952,7,,,,,,,,,
23,"{'1': 24, '2': 17, '3': 17, '4': 10, '5': 9, '6': 2, '7': 4}",44.85714285714286,2,1931,7,,,,,,,,,
24,"{'1': 27, '2': 24, '3': 11, '4': 12, '5': 4, '6': 2, '7': 3}",54.85714285714286,2,1829,7,,,,,,,,,
25,"{'1': 24, '2': 20, '3': 14, '4': 10, '5': 3, '6': 3, '7': 9}",44.85714285714286,2,1929,7,,,,,,,,,
26,"{'1': 25, '2': 16, '3': 14, '4': 12, '5': 8, '6': 5, '7': 3}",39.14285714285714,2,1952,7,,,,,,,,,
27,"{'1': 25, '2': 18, '3': 16, '4': 8, '5': 10, '6': 5, '7': 1}",46.85714285714286,2,1912,7,,,,,,,,,
28,"{'1': 24, '2': 17, '3': 14, '4': 12, '5': 6, '6': 6, '7': 4}",39.14285714285714,2,1956,7,,,,,,,,,
29,"{'1': 22, '2': 20, '3': 19, '4': 11, '5': 4, '6': 2, '7': 5}",50.85714285714286,2,1874,7,,,,,,,,,
30,"{'1': 22, '2': 19, '3': 14, '4': 14, '5': 5, '6': 5, '7': 4}",43.14285714285714,2,1931,7,,,,,,,,,
31,"{'1': 23, '2': 22, '3': 16, '4': 10, '5': 4, '6': 3, '7': 5}",50.85714285714286,2,1885,7,,,,,,,,,
32,"{'1': 28, '2': 18, '3': 13, '4': 9, '5': 7, '6': 4, '7': 4}",46.85714285714286,2,1924,7,,,,,,,,,
33,"{'1': 28, '2': 17, '3': 14, '4': 11, '5': 8, '6': 3, '7': 2}",46.85714285714286,2,1894,7,,,,,,,,,
34,"{'1': 24, '2': 20, '3': 16, '4': 8, '5': 6, '6': 6, '7': 3}",48.85714285714286,2,1928,7,,,,,,,,,
35,"{'1': 23, '2': 23, '3': 13, '4': 9, '5': 6, '6': 6, '7': 3}",46.85714285714286,2,1929,7,,,,,,,,,
36,"{'1': 23, '2': 19, '3': 15, '4': 11, '5': 8, '6': 5, '7': 2}",42.85714285714286,2,1934,7,,,,,,,,,
37,"{'1': 26, '2': 18, '3': 13, '4': 10, '5': 7, '6': 7, '7': 2}",42.85714285714286,2,1944,7,,,,,,,,,
38,"{'1': 25, '2': 20, '3': 14, '4': 7, '5': 9, '6': 4, '7': 4}",46.85714285714286,2,1928,7,,,,,,,,,
39,"{'1': 21, '2': 17, '3': 19, '4': 13, '5': 7, '6': 6, '7': 0}",31.0,2,1909,6,,,,,,,,,
40,"{'1': 22, '2': 19, '3': 18, '4': 13, '5': 7, '6': 3, '7': 1}",49.14285714285714,2,1876,7,,,,,,,,,
41,"{'1': 21, '2': 19, '3': 16, '4': 11, '5': 6, '6': 3, '7': 7}",40.85714285714286,2,1956,7,,,,,,,,,
42,"{'1': 22, '2': 16, '3': 17, '4': 11, '5': 8, '6': 7, '7': 2}",38.85714285714286,2,1970,7,,,,,,,,,
