Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 28, '2': 25, '3': 17, '4': 11, '5': 2, '6': 0, '7': 0}",40.4,2,794.8887961651593,5,,,,,,,,,
1,"{'1': 28, '2': 25, '3': 17, '4': 11, '5': 2, '6': 0, '7': 0}",40.4,2,794.8887961651593,5,,,,,,,,,
2,"{'1': 29, '2': 23, '3': 16, '4': 11, '5': 4, '6': 0, '7': 0}",37.6,2,849.4877979659318,5,,,,,,,,,
3,"{'1': 29, '2': 24, '3': 16, '4': 10, '5': 4, '6': 0, '7': 0}",39.6,2,842.5466685232989,5,,,,,,,,,
4,"{'1': 29, '2': 23, '3': 16, '4': 11, '5': 4, '6': 0, '7': 0}",37.6,2,849.4877979659318,5,,,,,,,,,
5,"{'1': 29, '2': 23, '3': 16, '4': 11, '5': 4, '6': 0, '7': 0}",37.6,2,849.4877979659318,5,,,,,,,,,
6,"{'1': 29, '2': 23, '3': 16, '4': 11, '5': 4, '6': 0, '7': 0}",37.6,2,849.4877979659318,5,,,,,,,,,
7,"{'1': 29, '2': 23, '3': 16, '4': 11, '5': 4, '6': 0, '7': 0}",37.6,2,849.4877979659318,5,,,,,,,,,
8,"{'1': 29, '2': 23, '3': 16, '4': 11, '5': 4, '6': 0, '7': 0}",37.6,2,849.4877979659318,5,,,,,,,,,
9,"{'1': 28, '2': 25, '3': 16, '4': 11, '5': 3, '6': 0, '7': 0}",39.6,2,822.9650823911717,5,,,,,,,,,
,,,,,,794.8887961651593,849.4877979659318,835.2216131040383,37.6,40.4,38.56000000000001,19.03518753051758,0,"{4: 0, 5: 10, 6: 0, 7: 0}"
