Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
0,"{'1': 23, '2': 22, '3': 21, '4': 17, '5': 0, '6': 0, '7': 0}",42.3,2,1709,4,,,,
1,"{'1': 22, '2': 22, '3': 19, '4': 20, '5': 0, '6': 0, '7': 0}",42.4,2,1715,4,,,,
2,"{'1': 20, '2': 23, '3': 21, '4': 19, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,
3,"{'1': 19, '2': 24, '3': 20, '4': 20, '5': 0, '6': 0, '7': 0}",42.3,2,1713,4,,,,
4,"{'1': 22, '2': 24, '3': 21, '4': 16, '5': 0, '6': 0, '7': 0}",42.3,2,1705,4,,,,
5,"{'1': 19, '2': 21, '3': 20, '4': 23, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,
6,"{'1': 19, '2': 19, '3': 23, '4': 22, '5': 0, '6': 0, '7': 0}",42.4,2,1713,4,,,,
7,"{'1': 19, '2': 23, '3': 22, '4': 19, '5': 0, '6': 0, '7': 0}",42.4,2,1713,4,,,,
8,"{'1': 15, '2': 24, '3': 24, '4': 20, '5': 0, '6': 0, '7': 0}",42.199999999999996,2,1701,4,,,,
9,"{'1': 19, '2': 23, '3': 18, '4': 23, '5': 0, '6': 0, '7': 0}",42.3,2,1710,4,,,,
10,"{'1': 21, '2': 19, '3': 20, '4': 23, '5': 0, '6': 0, '7': 0}",42.3,2,1714,4,,,,
,,,,,,1000,159.2972276210785,999989,"{4: 11, 5: 0, 6: 0, 7: 0}"
