Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 9, '2': 7, '3': 5, '4': 5, '5': 1, '6': 0, '7': 0}",10.4,2,464.2390301,5,,,,,,,,,
1,"{'1': 9, '2': 10, '3': 5, '4': 2, '5': 1, '6': 0, '7': 0}",16.4,2,436.51566509,5,,,,,,,,,
2,"{'1': 9, '2': 8, '3': 4, '4': 4, '5': 2, '6': 0, '7': 0}",12.4,2,442.79185010000003,5,,,,,,,,,
3,"{'1': 11, '2': 7, '3': 4, '4': 3, '5': 2, '6': 0, '7': 0}",14.4,2,429.072896381,5,,,,,,,,,
4,"{'1': 9, '2': 8, '3': 6, '4': 3, '5': 1, '6': 0, '7': 0}",13.6,2,453.24895010000006,5,,,,,,,,,
5,"{'1': 10, '2': 6, '3': 7, '4': 3, '5': 1, '6': 0, '7': 0}",13.6,2,450.79900709000003,5,,,,,,,,,
6,"{'1': 9, '2': 8, '3': 5, '4': 4, '5': 1, '6': 0, '7': 0}",12.4,2,458.1008501,5,,,,,,,,,
7,"{'1': 11, '2': 8, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",11.0,2,455.010716381,4,,,,,,,,,
8,"{'1': 10, '2': 7, '3': 6, '4': 3, '5': 1, '6': 0, '7': 0}",13.6,2,450.79900709000003,5,,,,,,,,,
9,"{'1': 10, '2': 6, '3': 7, '4': 4, '5': 0, '6': 0, '7': 0}",7.0,2,469.42900709,4,,,,,,,,,
10,"{'1': 10, '2': 7, '3': 5, '4': 3, '5': 2, '6': 0, '7': 0}",12.4,2,437.02090709000004,5,,,,,,,,,
11,"{'1': 10, '2': 7, '3': 5, '4': 4, '5': 1, '6': 0, '7': 0}",12.4,2,455.65090709000003,5,,,,,,,,,
12,"{'1': 8, '2': 7, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",3.5,2,481.32977900000003,4,,,,,,,,,
13,"{'1': 9, '2': 7, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",5.0,2,478.01713010000003,4,,,,,,,,,
14,"{'1': 9, '2': 6, '3': 5, '4': 5, '5': 2, '6': 0, '7': 0}",8.4,2,452.4292301,5,,,,,,,,,
15,"{'1': 8, '2': 8, '3': 6, '4': 4, '5': 1, '6': 0, '7': 0}",11.6,2,462.791309,5,,,,,,,,,
16,"{'1': 10, '2': 9, '3': 4, '4': 3, '5': 1, '6': 0, '7': 0}",16.4,2,441.90666509000005,5,,,,,,,,,
17,"{'1': 11, '2': 8, '3': 5, '4': 3, '5': 0, '6': 0, '7': 0}",11.0,2,455.010716381,4,,,,,,,,,
18,"{'1': 10, '2': 8, '3': 5, '4': 3, '5': 1, '6': 0, '7': 0}",14.4,2,447.64972709,5,,,,,,,,,
19,"{'1': 7, '2': 7, '3': 8, '4': 3, '5': 2, '6': 0, '7': 0}",11.6,2,445.93277900000004,5,,,,,,,,,
