Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 9, '2': 7, '3': 4, '4': 7, '5': 0, '6': 0, '7': 0}",9.6,2,550,4,,,,,,,,,
1,"{'1': 8, '2': 5, '3': 6, '4': 8, '5': 0, '6': 0, '7': 0}",10.499999999999998,2,553,4,,,,,,,,,
2,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",10.899999999999999,2,556,4,,,,,,,,,
3,"{'1': 7, '2': 10, '3': 4, '4': 6, '5': 0, '6': 0, '7': 0}",9.3,2,548,4,,,,,,,,,
4,"{'1': 6, '2': 11, '3': 7, '4': 3, '5': 0, '6': 0, '7': 0}",11.7,2,544,4,,,,,,,,,
5,"{'1': 7, '2': 9, '3': 3, '4': 8, '5': 0, '6': 0, '7': 0}",12.299999999999999,2,547,4,,,,,,,,,
6,"{'1': 8, '2': 6, '3': 7, '4': 6, '5': 0, '6': 0, '7': 0}",10.899999999999999,2,556,4,,,,,,,,,
7,"{'1': 7, '2': 8, '3': 4, '4': 8, '5': 0, '6': 0, '7': 0}",9.7,2,551,4,,,,,,,,,
8,"{'1': 8, '2': 9, '3': 5, '4': 5, '5': 0, '6': 0, '7': 0}",9.999999999999996,2,551,4,,,,,,,,,
9,"{'1': 7, '2': 5, '3': 7, '4': 8, '5': 0, '6': 0, '7': 0}",10.6,2,554,4,,,,,,,,,
10,"{'1': 8, '2': 7, '3': 4, '4': 8, '5': 0, '6': 0, '7': 0}",9.7,2,551,4,,,,,,,,,
11,"{'1': 7, '2': 7, '3': 6, '4': 7, '5': 0, '6': 0, '7': 0}",11.0,2,558,4,,,,,,,,,
12,"{'1': 6, '2': 7, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",10.899999999999999,2,556,4,,,,,,,,,
13,"{'1': 10, '2': 7, '3': 5, '4': 5, '5': 0, '6': 0, '7': 0}",9.799999999999997,2,550,4,,,,,,,,,
14,"{'1': 10, '2': 5, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",10.099999999999998,2,551,4,,,,,,,,,
15,"{'1': 11, '2': 5, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",9.399999999999999,2,549,4,,,,,,,,,
16,"{'1': 10, '2': 7, '3': 6, '4': 4, '5': 0, '6': 0, '7': 0}",9.3,2,548,4,,,,,,,,,
17,"{'1': 7, '2': 6, '3': 9, '4': 5, '5': 0, '6': 0, '7': 0}",10.399999999999999,2,552,4,,,,,,,,,
18,"{'1': 7, '2': 8, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",10.599999999999998,2,554,4,,,,,,,,,
19,"{'1': 7, '2': 8, '3': 5, '4': 7, '5': 0, '6': 0, '7': 0}",10.6,2,554,4,,,,,,,,,
20,"{'1': 8, '2': 8, '3': 5, '4': 6, '5': 0, '6': 0, '7': 0}",10.5,2,553,4,,,,,,,,,
21,"{'1': 8, '2': 9, '3': 6, '4': 4, '5': 0, '6': 0, '7': 0}",9.5,2,549,4,,,,,,,,,
22,"{'1': 8, '2': 7, '3': 7, '4': 5, '5': 0, '6': 0, '7': 0}",10.599999999999998,2,554,4,,,,,,,,,
23,"{'1': 8, '2': 9, '3': 5, '4': 5, '5': 0, '6': 0, '7': 0}",9.999999999999996,2,551,4,,,,,,,,,
24,"{'1': 8, '2': 7, '3': 8, '4': 4, '5': 0, '6': 0, '7': 0}",9.7,2,551,4,,,,,,,,,
25,"{'1': 10, '2': 6, '3': 4, '4': 7, '5': 0, '6': 0, '7': 0}",9.299999999999999,2,548,4,,,,,,,,,
26,"{'1': 8, '2': 7, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",10.899999999999999,2,556,4,,,,,,,,,
27,"{'1': 7, '2': 6, '3': 8, '4': 6, '5': 0, '6': 0, '7': 0}",10.899999999999999,2,556,4,,,,,,,,,
28,"{'1': 10, '2': 8, '3': 3, '4': 6, '5': 0, '6': 0, '7': 0}",12.0,2,545,4,,,,,,,,,
29,"{'1': 10, '2': 5, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",10.099999999999998,2,551,4,,,,,,,,,
30,"{'1': 10, '2': 6, '3': 6, '4': 5, '5': 0, '6': 0, '7': 0}",10.099999999999998,2,551,4,,,,,,,,,
31,"{'1': 7, '2': 7, '3': 8, '4': 5, '5': 0, '6': 0, '7': 0}",10.599999999999998,2,554,4,,,,,,,,,
32,"{'1': 6, '2': 9, '3': 6, '4': 6, '5': 0, '6': 0, '7': 0}",10.7,2,555,4,,,,,,,,,
