Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Highest price,Mean price,Lowest distribution,Highest distribution,Mean distribution,Average Time,Fails,How many Stations
0,"{'1': 22, '2': 12, '3': 14, '4': 8, '5': 0, '6': 0, '7': 0}",16.0,2,1134,4,,,,,,,,,
1,"{'1': 21, '2': 15, '3': 13, '4': 7, '5': 0, '6': 0, '7': 0}",16.0,2,1133,4,,,,,,,,,
2,"{'1': 20, '2': 12, '3': 15, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1139,4,,,,,,,,,
3,"{'1': 22, '2': 13, '3': 13, '4': 8, '5': 0, '6': 0, '7': 0}",16.0,2,1135,4,,,,,,,,,
4,"{'1': 23, '2': 13, '3': 13, '4': 7, '5': 0, '6': 0, '7': 0}",18.0,2,1131,4,,,,,,,,,
5,"{'1': 18, '2': 14, '3': 12, '4': 12, '5': 0, '6': 0, '7': 0}",8.0,2,1150,4,,,,,,,,,
6,"{'1': 20, '2': 14, '3': 13, '4': 9, '5': 0, '6': 0, '7': 0}",12.0,2,1140,4,,,,,,,,,
7,"{'1': 20, '2': 14, '3': 14, '4': 8, '5': 0, '6': 0, '7': 0}",12.0,2,1138,4,,,,,,,,,
8,"{'1': 24, '2': 11, '3': 10, '4': 11, '5': 0, '6': 0, '7': 0}",20.0,2,1137,4,,,,,,,,,
9,"{'1': 23, '2': 14, '3': 8, '4': 11, '5': 0, '6': 0, '7': 0}",18.0,2,1132,4,,,,,,,,,
10,"{'1': 20, '2': 16, '3': 12, '4': 8, '5': 0, '6': 0, '7': 0}",16.0,2,1136,4,,,,,,,,,
11,"{'1': 21, '2': 15, '3': 13, '4': 7, '5': 0, '6': 0, '7': 0}",16.0,2,1133,4,,,,,,,,,
12,"{'1': 20, '2': 13, '3': 14, '4': 9, '5': 0, '6': 0, '7': 0}",12.0,2,1140,4,,,,,,,,,
13,"{'1': 21, '2': 13, '3': 13, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1139,4,,,,,,,,,
14,"{'1': 19, '2': 16, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1140,4,,,,,,,,,
15,"{'1': 22, '2': 12, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",16.0,2,1140,4,,,,,,,,,
16,"{'1': 21, '2': 13, '3': 8, '4': 14, '5': 0, '6': 0, '7': 0}",14.0,2,1136,4,,,,,,,,,
17,"{'1': 17, '2': 14, '3': 15, '4': 10, '5': 0, '6': 0, '7': 0}",8.0,2,1147,4,,,,,,,,,
18,"{'1': 19, '2': 15, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1143,4,,,,,,,,,
19,"{'1': 20, '2': 14, '3': 13, '4': 9, '5': 0, '6': 0, '7': 0}",12.0,2,1140,4,,,,,,,,,
20,"{'1': 18, '2': 16, '3': 15, '4': 7, '5': 0, '6': 0, '7': 0}",14.0,2,1138,4,,,,,,,,,
21,"{'1': 23, '2': 13, '3': 12, '4': 8, '5': 0, '6': 0, '7': 0}",18.0,2,1133,4,,,,,,,,,
22,"{'1': 21, '2': 12, '3': 12, '4': 11, '5': 0, '6': 0, '7': 0}",14.0,2,1144,4,,,,,,,,,
23,"{'1': 21, '2': 15, '3': 10, '4': 10, '5': 0, '6': 0, '7': 0}",16.0,2,1139,4,,,,,,,,,
24,"{'1': 21, '2': 14, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1138,4,,,,,,,,,
25,"{'1': 20, '2': 16, '3': 9, '4': 11, '5': 0, '6': 0, '7': 0}",16.0,2,1138,4,,,,,,,,,
26,"{'1': 23, '2': 14, '3': 10, '4': 9, '5': 0, '6': 0, '7': 0}",18.0,2,1134,4,,,,,,,,,
27,"{'1': 23, '2': 13, '3': 10, '4': 10, '5': 0, '6': 0, '7': 0}",18.0,2,1137,4,,,,,,,,,
28,"{'1': 22, '2': 13, '3': 11, '4': 10, '5': 0, '6': 0, '7': 0}",16.0,2,1139,4,,,,,,,,,
29,"{'1': 19, '2': 15, '3': 11, '4': 11, '5': 0, '6': 0, '7': 0}",12.0,2,1145,4,,,,,,,,,
30,"{'1': 22, '2': 15, '3': 10, '4': 9, '5': 0, '6': 0, '7': 0}",18.0,2,1135,4,,,,,,,,,
31,"{'1': 22, '2': 13, '3': 13, '4': 8, '5': 0, '6': 0, '7': 0}",16.0,2,1135,4,,,,,,,,,
32,"{'1': 16, '2': 15, '3': 14, '4': 11, '5': 0, '6': 0, '7': 0}",6.0,2,1151,4,,,,,,,,,
33,"{'1': 18, '2': 17, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1141,4,,,,,,,,,
34,"{'1': 22, '2': 15, '3': 12, '4': 7, '5': 0, '6': 0, '7': 0}",18.0,2,1131,4,,,,,,,,,
35,"{'1': 23, '2': 12, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",18.0,2,1136,4,,,,,,,,,
36,"{'1': 22, '2': 13, '3': 13, '4': 8, '5': 0, '6': 0, '7': 0}",16.0,2,1135,4,,,,,,,,,
37,"{'1': 20, '2': 14, '3': 11, '4': 11, '5': 0, '6': 0, '7': 0}",12.0,2,1144,4,,,,,,,,,
38,"{'1': 21, '2': 11, '3': 14, '4': 10, '5': 0, '6': 0, '7': 0}",14.0,2,1140,4,,,,,,,,,
39,"{'1': 25, '2': 12, '3': 10, '4': 9, '5': 0, '6': 0, '7': 0}",22.0,2,1132,4,,,,,,,,,
40,"{'1': 23, '2': 16, '3': 11, '4': 6, '5': 0, '6': 0, '7': 0}",22.0,2,1126,4,,,,,,,,,
41,"{'1': 22, '2': 16, '3': 9, '4': 9, '5': 0, '6': 0, '7': 0}",20.0,2,1134,4,,,,,,,,,
42,"{'1': 18, '2': 13, '3': 13, '4': 12, '5': 0, '6': 0, '7': 0}",8.0,2,1151,4,,,,,,,,,
43,"{'1': 21, '2': 13, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",14.0,2,1141,4,,,,,,,,,
44,"{'1': 19, '2': 16, '3': 13, '4': 8, '5': 0, '6': 0, '7': 0}",14.0,2,1138,4,,,,,,,,,
45,"{'1': 20, '2': 14, '3': 14, '4': 8, '5': 0, '6': 0, '7': 0}",12.0,2,1138,4,,,,,,,,,
46,"{'1': 21, '2': 10, '3': 12, '4': 13, '5': 0, '6': 0, '7': 0}",14.0,2,1141,4,,,,,,,,,
47,"{'1': 21, '2': 13, '3': 10, '4': 12, '5': 0, '6': 0, '7': 0}",14.0,2,1141,4,,,,,,,,,
48,"{'1': 21, '2': 14, '3': 12, '4': 9, '5': 0, '6': 0, '7': 0}",14.0,2,1138,4,,,,,,,,,
49,"{'1': 24, '2': 12, '3': 11, '4': 9, '5': 0, '6': 0, '7': 0}",20.0,2,1134,4,,,,,,,,,
50,"{'1': 23, '2': 14, '3': 11, '4': 8, '5': 0, '6': 0, '7': 0}",18.0,2,1132,4,,,,,,,,,
51,"{'1': 21, '2': 13, '3': 15, '4': 7, '5': 0, '6': 0, '7': 0}",16.0,2,1133,4,,,,,,,,,
52,"{'1': 19, '2': 13, '3': 11, '4': 13, '5': 0, '6': 0, '7': 0}",10.0,2,1147,4,,,,,,,,,
53,"{'1': 23, '2': 15, '3': 12, '4': 6, '5': 0, '6': 0, '7': 0}",20.0,2,1127,4,,,,,,,,,
54,"{'1': 21, '2': 13, '3': 11, '4': 11, '5': 0, '6': 0, '7': 0}",14.0,2,1143,4,,,,,,,,,
55,"{'1': 19, '2': 15, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1143,4,,,,,,,,,
56,"{'1': 23, '2': 16, '3': 9, '4': 8, '5': 0, '6': 0, '7': 0}",22.0,2,1130,4,,,,,,,,,
57,"{'1': 21, '2': 12, '3': 12, '4': 11, '5': 0, '6': 0, '7': 0}",14.0,2,1144,4,,,,,,,,,
58,"{'1': 22, '2': 14, '3': 11, '4': 9, '5': 0, '6': 0, '7': 0}",16.0,2,1136,4,,,,,,,,,
59,"{'1': 20, '2': 14, '3': 12, '4': 10, '5': 0, '6': 0, '7': 0}",12.0,2,1142,4,,,,,,,,,
60,"{'1': 18, '2': 15, '3': 14, '4': 9, '5': 0, '6': 0, '7': 0}",10.0,2,1143,4,,,,,,,,,
