Try No,Score,Even Distribution Score,Cheapest Station,Costs,Amount of Stations,Lowest price,Time,Fails,How many Stations
0,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
1,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
2,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
3,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
4,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
5,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
6,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
7,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
8,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
9,"{'1': 11, '2': 7, '3': 3, '4': 4, '5': 2, '6': 0, '7': 0}",28.299999999999997,2,574,5,,,,
,,,,,,574,0.00902247428894043,0,"{4: 0, 5: 10, 6: 0, 7: 0}"
